,Airport,Ranking
0,FRA,238
1,CDG,233
2,AMS,231
3,IST,230
4,ATL,216
5,PEK,206
6,ORD,203
7,MUC,189
8,DME,189
9,DFW,185
10,DXB,182
11,LHR,171
12,DEN,168
13,IAH,168
14,LGW,165
15,BCN,163
16,JFK,160
17,FCO,159
18,MAD,156
19,PVG,153
20,EWR,152
21,STN,152
22,CAN,149
23,LAX,148
24,DUS,147
25,BRU,147
26,YYZ,146
27,MAN,144
28,SVO,144
29,DUB,144
30,CLT,139
31,VIE,138
32,ZRH,136
33,MIA,134
34,DTW,134
35,HKG,134
36,LAS,133
37,ICN,131
38,MSP,130
39,PMI,126
40,SIN,125
41,ARN,123
42,IAD,122
43,PHL,121
44,BKK,121
45,CPH,120
46,ORY,120
47,DOH,118
48,AGP,115
49,LED,112
50,MXP,111
51,KUL,111
52,TXL,110
53,CTU,108
54,OSL,104
55,SFO,104
56,NRT,103
57,TPE,102
58,MCO,102
59,BOS,102
60,ATH,102
61,LIS,101
62,GVA,100
63,JED,98
64,SAW,98
65,DEL,97
66,FLL,97
67,ALC,96
68,KMG,95
69,MEX,95
70,SEA,94
71,PRG,94
72,CGN,92
73,YUL,92
74,SLC,91
75,PHX,91
76,GRU,90
77,NCE,90
78,AUH,89
79,DCA,89
80,CKG,89
81,EDI,89
82,HEL,88
83,CMN,87
84,HAM,87
85,XIY,86
86,SZX,86
87,LTN,85
88,MRS,85
89,LPA,83
90,CRL,83
91,SYD,83
92,JNB,83
93,TFS,83
94,CAI,82
95,BOM,82
96,RUH,81
97,BHX,81
98,STR,80
99,BGY,80
100,WAW,78
101,MNL,78
102,TLV,78
103,CUN,78
104,LYS,78
105,SHJ,78
106,BUD,77
107,MLA,76
108,YVR,75
109,MDW,75
110,BOG,74
111,HND,74
112,VCE,73
113,VKO,73
114,PTY,72
115,BWI,72
116,ADD,72
117,XMN,72
118,HGH,72
119,BRS,72
120,CSX,70
121,LGA,69
122,SXF,68
123,SHA,68
124,OTP,68
125,RIX,68
126,TPA,67
127,WUH,66
128,SVX,66
129,PSA,65
