,Airport,Ranking
0,FRA,239
1,CDG,237
2,AMS,232
3,IST,227
4,ATL,217
5,PEK,206
6,ORD,206
7,MUC,191
8,DME,189
9,DXB,188
10,DFW,187
11,LHR,171
12,DEN,169
13,IAH,169
14,LGW,165
15,BCN,163
16,JFK,162
17,MAD,158
18,FCO,157
19,STN,153
20,EWR,153
21,PVG,152
22,CAN,150
23,LAX,149
24,YYZ,147
25,DUS,147
26,MAN,146
27,BRU,146
28,SVO,144
29,DUB,144
30,CLT,141
31,VIE,137
32,ZRH,137
33,MIA,135
34,DTW,135
35,HKG,133
36,LAS,133
37,ICN,131
38,MSP,130
39,IAD,126
40,PMI,126
41,SIN,125
42,ARN,123
43,PHL,122
44,CPH,121
45,BKK,121
46,ORY,119
47,DOH,116
48,AGP,115
49,KUL,112
50,LED,110
51,JED,109
52,TXL,109
53,CTU,108
54,MXP,107
55,ATH,104
56,OSL,104
57,SFO,104
58,NRT,103
59,TPE,103
60,BOS,103
61,LIS,103
62,MCO,102
63,GVA,101
64,SAW,98
65,FLL,97
66,DEL,97
67,ALC,96
68,KMG,95
69,PRG,94
70,MEX,94
71,YUL,93
72,GRU,92
73,CGN,92
74,DCA,91
75,PHX,91
76,SEA,90
77,NCE,90
78,SLC,90
79,CKG,89
80,EDI,88
81,HEL,88
82,CMN,87
83,HAM,87
84,AUH,87
85,XIY,86
86,SZX,86
87,MRS,86
88,LTN,85
89,SYD,85
90,BOM,83
91,CRL,83
92,TFS,83
93,BHX,81
94,CAI,81
95,JNB,81
96,BGY,80
97,RUH,80
98,LPA,80
99,STR,80
100,TLV,79
101,CUN,78
102,SHJ,78
103,WAW,78
104,MNL,78
105,LYS,77
106,BUD,77
107,MLA,76
108,YVR,75
109,VKO,74
110,BOG,74
111,MDW,74
112,BRS,73
113,VCE,73
114,HND,73
115,BWI,72
116,HGH,72
117,PTY,72
118,XMN,72
119,CSX,70
120,LGA,70
121,SXF,69
122,TPA,68
123,RIX,68
124,SHA,67
125,ADD,67
126,BSL,66
127,OTP,66
128,WUH,66
129,ALG,65
130,PSA,65
131,SVX,65
132,CGK,64
133,BLQ,64
134,NBO,64
135,AYT,63
136,GLA,63
137,FAO,63
138,KBP,62
139,EIN,62
140,SHE,62
141,OPO,61
142,BNE,60
143,STL,60
144,TUN,60
145,DLC,59
146,YYC,59
147,HER,59
148,BVA,59
149,HRB,58
150,IBZ,58
151,EMA,57
152,LIM,57
153,KWI,57
154,KIX,57
155,VLC,57
156,TAS,57
157,PDX,57
158,AMM,57
159,CLE,56
160,CGO,55
161,MEL,55
162,URC,55
163,NTE,55
164,SAN,55
165,TAO,54
166,SKG,54
167,SGN,54
168,ACE,54
169,MCT,54
170,NKG,54
171,LUX,54
172,LCA,53
173,FUE,53
174,KRK,52
175,BEG,52
176,TSN,52
177,OVB,52
178,NAP,51
179,VCP,51
180,HNL,51
181,LBA,51
182,CIA,50
183,HAJ,50
184,GRO,49
185,BGO,49
186,HOU,49
187,BOD,49
188,GIG,49
189,RAK,49
190,NCL,49
191,SJU,49
192,SFB,49
193,KWE,48
194,DMK,48
195,DMM,48
196,LPL,48
197,FOC,47
198,HHN,47
199,CVG,47
200,BNA,47
201,CCS,47
202,GDN,47
203,TYN,47
204,CTA,47
205,RHO,47
206,PUJ,46
207,TLS,46
208,VNO,46
209,HAN,46
210,AKL,45
211,ALA,45
212,BEY,45
213,NNG,44
214,BSB,44
215,ADB,44
216,BRE,43
217,MCI,43
218,AEP,43
219,IKA,43
220,ESB,43
221,LOS,43
222,NGO,42
223,DPS,42
224,AUS,42
225,SYX,41
226,GDL,41
227,TNA,41
228,MSQ,41
229,DBV,41
230,KWL,41
231,BRI,41
232,CMB,41
233,SOF,41
234,BAH,40
235,SCL,40
236,BLR,40
237,EZE,40
238,NAY,40
239,MAA,40
240,DWC,40
241,MSY,39
242,RDU,39
243,MHD,39
244,PMO,39
245,GYD,39
246,BLL,39
247,NAS,39
248,SJO,38
249,PER,38
250,CAG,38
251,NGB,38
252,MFM,38
253,NRN,38
254,TSF,38
255,YEG,38
256,SVQ,38
257,HAK,38
258,KHN,38
259,PIT,37
260,ISB,37
261,SVG,37
262,CTS,37
263,CFU,37
264,HET,37
265,THR,37
266,KHH,37
267,FUK,37
268,CCU,37
269,CHQ,37
270,PUS,36
271,LAD,36
272,SPU,36
273,KHI,36
274,IND,35
275,LCY,35
276,BIO,35
277,SJW,35
278,HFE,35
279,SAT,35
280,RYG,35
281,POM,35
282,TSE,34
283,OAK,34
284,ANC,34
285,KRR,34
286,CJU,33
287,LHW,33
288,WNZ,33
289,SXM,33
290,LIN,33
291,EVN,33
292,DAC,33
293,CNF,33
294,RSW,33
295,TIJ,32
296,MTY,32
297,AZA,32
298,KTM,32
299,NUE,32
300,OKA,32
301,OLB,32
302,SAL,32
303,CMH,32
304,MEM,32
305,KEF,32
306,HYD,32
307,HKT,32
308,GOT,32
309,HAV,31
310,TRD,31
311,LHE,31
312,DKR,31
313,WRO,31
314,NYO,31
315,AHO,31
316,PIE,31
317,ORK,30
318,TRF,30
319,JER,30
320,ZUH,30
321,FNC,30
322,KJA,30
323,BKI,30
324,ACC,30
325,DYU,30
326,CNS,30
327,LIL,30
328,MKE,30
329,SSA,29
330,CGQ,29
331,ABZ,29
332,SJC,29
333,MLE,29
334,INC,29
335,CEB,29
336,RTM,29
337,TRN,29
338,BFS,29
339,DLM,28
340,IKT,28
341,SMF,28
342,RGN,28
343,MED,28
344,PPT,28
345,TLL,28
346,KGS,28
347,LJG,28
348,YHZ,28
349,LEJ,28
350,TPS,28
351,DTM,28
352,KTW,27
353,SDQ,27
354,POA,27
355,ZAG,27
356,BDL,26
357,SYZ,26
358,SXB,26
359,HRG,26
360,CNX,26
361,UPG,26
362,YOW,26
363,SNN,26
364,CGH,26
365,MBJ,26
366,FLR,26
367,WMI,26
368,JAX,26
369,ADL,26
370,KIV,25
371,TIP,25
372,ABV,25
373,AUA,25
374,PFO,25
375,NBE,25
376,AJA,25
377,SUB,25
378,MRU,25
379,NAN,24
380,TBS,24
381,DAL,24
382,DJE,24
383,ZAD,24
384,ABQ,23
385,CWB,23
386,SKP,23
387,BIA,23
388,YWG,23
389,KHV,23
390,PBI,23
391,UIO,23
392,MAH,23
393,VRN,23
394,RMQ,23
395,SWA,23
396,ORN,23
397,YKS,23
398,CPT,23
399,YNT,23
400,MYR,23
401,SOU,23
402,ROV,22
403,FRU,22
404,SCQ,22
405,SJD,22
406,BET,22
407,SAH,22
408,SDF,22
409,ANU,22
410,DAR,22
411,LJU,22
412,ITM,22
413,COK,22
414,KRT,22
415,ABJ,21
416,SUF,21
417,SNA,21
418,POS,21
419,DLA,21
420,KZN,21
421,OGG,21
422,HIR,21
423,TNR,21
424,HBE,21
425,FMM,21
426,PVR,21
427,PIK,21
428,WLG,21
429,BJV,21
430,GSP,20
431,CWL,20
432,VLI,20
433,MPL,20
434,BZE,20
435,DRW,20
436,IEV,20
437,MYY,20
438,CHS,20
439,PLS,20
440,EBL,20
441,REP,20
442,BUF,20
443,GSE,20
444,DAD,20
445,EBB,20
446,OKC,20
447,AGA,20
448,KUF,20
449,PEN,20
450,BHM,20
451,GRR,20
452,TOS,20
453,CHC,20
454,UFA,19
455,FAI,19
456,SZG,19
457,EXT,19
458,LBD,19
459,DSN,19
460,WUX,19
461,TSA,19
462,KUN,19
463,POZ,19
464,FOR,19
465,KIN,19
466,RIC,19
467,GUA,19
468,GUM,19
469,CUR,19
470,GYE,19
471,XNN,19
472,OMA,19
473,ALB,19
474,BDS,19
475,TJM,18
476,ROC,18
477,REC,18
478,BHD,18
479,PGD,18
480,CLJ,18
481,YQB,18
482,CLO,18
483,BTS,18
484,CGB,18
485,TIA,18
486,YZF,18
487,STT,18
488,LUN,18
489,MAO,18
490,FKB,18
491,JJN,18
492,CCJ,18
493,MDE,18
494,SSH,18
495,TUL,18
496,DRS,18
497,SDU,18
498,CZX,18
499,GCM,18
500,COO,18
501,BEL,18
502,ADE,18
503,TXN,18
504,YCU,18
505,AMD,18
506,XUZ,18
507,PVD,17
508,ORF,17
509,BOH,17
510,PDL,17
511,PEW,17
512,PRN,17
513,PSP,17
514,MJV,17
515,TRV,17
516,BTH,17
517,SCO,17
518,SDR,17
519,BAV,17
520,TFN,17
521,BGI,17
522,TYS,17
523,DSM,17
524,VTE,17
525,LIT,17
526,GOA,17
527,AER,17
528,MRV,16
529,KGL,16
530,SYR,16
531,FEZ,16
532,FIH,16
533,DAY,16
534,REU,16
535,MIG,16
536,LBV,16
537,BKO,16
538,YXL,16
539,LPB,16
540,LWO,16
541,BOI,16
542,OME,16
543,TUS,16
544,OMS,15
545,HPN,15
546,ULN,15
547,LXA,15
548,LEI,15
549,SID,15
550,GOJ,15
551,MPM,15
552,BHY,15
553,XRY,15
554,BMA,15
555,PNH,15
556,VVO,15
557,NOC,15
558,BOO,15
559,KBL,15
560,RAI,15
561,LIR,15
562,SAP,15
563,OUA,15
564,JNU,14
565,BPN,14
566,POP,14
567,CEK,14
568,GCI,14
569,PUY,14
570,TTN,14
571,YIH,14
572,KCH,14
573,GSO,14
574,LYI,14
575,PMV,14
576,ONT,14
577,SEN,14
578,IFN,14
579,LFW,14
580,SDJ,14
581,YIW,14
582,XNA,14
583,HMO,13
584,SAV,13
585,RNO,13
586,KTN,13
587,ZYI,13
588,GMP,13
589,BGW,13
590,DUR,13
591,OSS,13
592,JOG,13
593,BZV,13
594,YYT,13
595,MMX,13
596,LZH,13
597,YTY,13
598,SJJ,13
599,ELP,13
600,BIQ,13
601,LYG,13
602,RUN,13
603,LEX,13
604,YTZ,13
605,AWZ,13
606,ZHA,13
607,AAL,13
608,OOL,13
609,MHT,13
610,BWN,13
611,ODS,12
612,KOJ,12
613,MVD,12
614,DOK,12
615,OTZ,12
616,BRN,12
617,BUR,12
618,GAU,12
619,LGB,12
620,FLN,12
621,SZB,12
622,NDR,12
623,VVI,12
624,WDH,12
625,SUV,12
626,TGD,12
627,PNQ,12
628,PAP,12
629,PTP,12
630,HIA,12
631,DYG,12
632,MDT,12
633,BEN,12
634,YNZ,12
635,CZL,12
636,TNG,12
637,RAO,12
638,SGC,12
639,BIL,12
640,UUS,12
641,ZTH,12
642,FDH,12
643,GOI,12
644,BND,12
645,JHB,12
646,PLU,12
647,JIB,12
648,TSR,12
649,RZE,11
650,BES,11
651,YRT,11
652,HRE,11
653,COS,11
654,COR,11
655,NSK,11
656,FMO,11
657,FNA,11
658,NGS,11
659,YZV,11
660,TRS,11
661,KOI,11
662,YYR,11
663,KOA,11
664,ICT,11
665,GYN,11
666,BOJ,11
667,PNS,11
668,CLY,11
669,INV,11
670,GRZ,11
671,YLW,11
672,CIH,11
673,UVF,11
674,ASB,11
675,FAT,11
676,FDF,11
677,LIH,11
678,MDC,11
679,CID,11
680,LZO,11
681,AHB,11
682,CAK,11
683,MSN,11
684,TGU,11
685,ISP,10
686,FWA,10
687,CUU,10
688,TLC,10
689,BJX,10
690,MLI,10
691,MLH,10
692,CAE,10
693,GEG,10
694,IOM,10
695,AES,10
696,KOW,10
697,TMP,10
698,TSV,10
699,LOP,10
700,ADA,10
701,LIG,10
702,KIJ,10
703,ASU,10
704,KGD,10
705,PIA,10
706,CGR,10
707,OVD,10
708,PAC,10
709,YWK,10
710,CGP,10
711,JTR,10
712,SPN,10
713,MST,10
714,SON,10
715,NAT,10
716,CIF,10
717,UUD,10
718,FPO,10
719,AOI,10
720,YVP,10
721,NUX,10
722,HAU,10
723,VOG,10
724,TBZ,10
725,USM,10
726,CCF,10
727,WIL,10
728,BTV,10
729,FAR,10
730,YFB,10
731,NZH,10
732,MIR,10
733,RTB,10
734,TIF,9
735,ABE,9
736,WUS,9
737,MBA,9
738,ACY,9
739,JHG,9
740,JNG,9
741,HRK,9
742,JMK,9
743,SBN,9
744,AMQ,9
745,DVO,9
746,RNS,9
747,JRO,9
748,ROA,9
749,HLD,9
750,JUV,9
751,VAR,9
752,SGF,9
753,RIY,9
754,PSR,9
755,EGO,9
756,LYA,9
757,EGC,9
758,SEZ,9
759,PVK,9
760,BDO,9
761,RAR,9
762,RBA,9
763,ELQ,9
764,ISA,9
765,VRA,9
766,SKT,9
767,CZM,9
768,BLI,9
769,BLK,9
770,XFN,9
771,HTA,9
772,JAI,9
773,JAN,9
774,BZR,9
775,PNR,9
776,HSV,9
777,GOH,9
778,HIJ,9
779,NTG,9
780,SRG,9
781,KMQ,9
782,YQR,9
783,NOU,9
784,YXE,9
785,EUG,9
786,FSC,9
787,UDI,9
788,NDJ,9
789,OUD,9
790,FSD,9
791,YQT,9
792,NMA,9
793,DNK,9
794,VER,9
795,NKC,9
796,DJJ,9
797,NJF,9
798,LKO,9
799,FUG,9
800,MZT,9
801,NJC,9
802,LAE,9
803,VIX,9
804,AAR,8
805,BDJ,8
806,MAB,8
807,SFJ,8
808,KRS,8
809,RAB,8
810,BDA,8
811,MJT,8
812,ILO,8
813,VSA,8
814,DSA,8
815,WXN,8
816,NAG,8
817,EYW,8
818,MYJ,8
819,OKJ,8
820,CKY,8
821,DOM,8
822,FNT,8
823,CIY,8
824,NIM,8
825,HGU,8
826,HMA,8
827,MDL,8
828,ZAZ,8
829,CIT,8
830,HOG,8
831,MGA,8
832,MGF,8
833,CJB,8
834,NWI,8
835,MAR,8
836,YXS,8
837,KUT,8
838,HTY,8
839,ADZ,8
840,ECN,8
841,MID,8
842,ADQ,8
843,AVL,8
844,AJU,8
845,SLY,8
846,LRH,8
847,CHA,8
848,LRM,8
849,STI,8
850,MUX,8
851,PAD,8
852,GBE,8
853,UKB,8
854,TGO,8
855,CTG,8
856,GND,8
857,VTZ,8
858,BME,8
859,BMI,8
860,KIH,8
861,JDZ,8
862,ASP,8
863,LNZ,8
864,CGD,8
865,SSG,8
866,PLM,8
867,STM,8
868,SLZ,8
869,GEA,8
870,UET,8
871,KLO,8
872,PSC,8
873,YYJ,8
874,ISU,8
875,CRK,8
876,TER,8
877,EOH,8
878,NNY,7
879,JJU,7
880,LBB,7
881,MGQ,7
882,MRA,7
883,HSN,7
884,KBR,7
885,BFJ,7
886,MSO,7
887,RJK,7
888,YQM,7
889,KAN,7
890,WEF,7
891,JUB,7
892,RPR,7
893,MCZ,7
894,YGW,7
895,MFR,7
896,JMU,7
897,MDZ,7
898,BOB,7
899,JGS,7
900,ANI,7
901,NLA,7
902,ISG,7
903,LCE,7
904,NSI,7
905,IGU,7
906,VDS,7
907,MLM,7
908,CEE,7
909,CUL,7
910,KMI,7
911,LDB,7
912,IOS,7
913,PBM,7
914,LXR,7
915,IXE,7
916,BJL,7
917,UYN,7
918,KLX,7
919,BRW,7
920,LPQ,7
921,PKN,7
922,IDR,7
923,BZN,7
924,NYM,7
925,MAG,7
926,RAP,7
927,RAS,7
928,BSR,7
929,LGG,7
930,IAS,7
931,ZAH,7
932,NBC,7
933,HYN,7
934,DAT,7
935,PKU,7
936,AGU,7
937,AAE,7
938,SZZ,7
939,TZX,7
940,THE,7
941,ASM,7
942,EVE,7
943,SBH,7
944,TDD,7
945,ATW,7
946,TUU,7
947,YNB,7
948,UMD,7
949,SCW,7
950,ZNZ,7
951,YBP,7
952,FSZ,7
953,HAH,7
954,SPR,7
955,SPC,7
956,GEO,7
957,SMI,7
958,ALF,7
959,GWT,7
960,BBI,7
961,GUW,7
962,YMM,7
963,ASF,7
964,GTF,7
965,APL,7
966,DZA,7
967,AQG,7
968,TLH,7
969,HFT,7
970,YEV,7
971,TKU,7
972,TZA,6
973,YYY,6
974,JIQ,6
975,GJT,6
976,AZR,6
977,JPA,6
978,GGT,6
979,CBB,6
980,SOQ,6
981,UKK,6
982,PBC,6
983,KBV,6
984,BON,6
985,AMA,6
986,MHH,6
987,SRQ,6
988,VPE,6
989,SLU,6
990,YGJ,6
991,BPS,6
992,PZO,6
993,INN,6
994,BBO,6
995,TRC,6
996,BLA,6
997,TOY,6
998,SJP,6
999,CBR,6
1000,AKN,6
1001,POL,6
1002,SKB,6
1003,SKD,6
1004,VOZ,6
1005,TUK,6
1006,SLL,6
1007,BAQ,6
1008,SLP,6
1009,KGF,6
1010,BRC,6
1011,KKN,6
1012,KMJ,6
1013,FBM,6
1014,LCG,6
1015,ATQ,6
1016,NAO,6
1017,CHO,6
1018,TET,6
1019,ARH,6
1020,BVC,6
1021,CFE,6
1022,MUR,6
1023,MUB,6
1024,LRR,6
1025,MOL,6
1026,TIV,6
1027,LLW,6
1028,ERF,6
1029,MRY,6
1030,FEG,6
1031,LAP,6
1032,LAN,6
1033,KSU,6
1034,DOY,6
1035,KOE,6
1036,MAF,6
1037,AVP,6
1038,TMM,6
1039,YKQ,6
1040,MJZ,6
1041,SXR,6
1042,TAK,6
1043,VLN,6
1044,CJS,6
1045,YRL,6
1046,NKM,6
1047,YSB,6
1048,LUZ,6
1049,TAI,6
1050,KIR,6
1051,MDG,6
1052,GZP,6
1053,YNJ,6
1054,ROB,6
1055,RDM,6
1056,BEW,6
1057,BGR,6
1058,SBW,6
1059,HDG,6
1060,HME,6
1061,HMI,6
1062,ACK,6
1063,HRL,6
1064,SBA,6
1065,UME,6
1066,REL,6
1067,ILG,6
1068,ROR,6
1069,HKD,6
1070,REN,6
1071,ETZ,5
1072,LLA,5
1073,VXO,5
1074,TRK,5
1075,TGZ,5
1076,IAG,5
1077,ASR,5
1078,BNN,5
1079,ZQW,5
1080,SYY,5
1081,PIS,5
1082,KRL,5
1083,YTH,5
1084,QRO,5
1085,TUF,5
1086,HDY,5
1087,LMM,5
1088,ROS,5
1089,SKZ,5
1090,DIE,5
1091,PMR,5
1092,DIG,5
1093,JDO,5
1094,PMC,5
1095,TJA,5
1096,REX,5
1097,NOJ,5
1098,YTS,5
1099,PLJ,5
1100,PKZ,5
1101,VVC,5
1102,PHF,5
1103,IBR,5
1104,DAX,5
1105,HOR,5
1106,HSL,5
1107,PHE,5
1108,BUS,5
1109,LDY,5
1110,LDE,5
1111,SCC,5
1112,TVS,5
1113,TAM,5
1114,RLG,5
1115,RKV,5
1116,OVS,5
1117,VII,5
1118,PBH,5
1119,PBG,5
1120,HDF,5
1121,OXB,5
1122,YXU,5
1123,ATZ,5
1124,NEV,5
1125,UAK,5
1126,JZH,5
1127,JUH,5
1128,GIB,5
1129,GFK,5
1130,TFF,5
1131,BTU,5
1132,PGU,5
1133,JAV,5
1134,PGF,5
1135,MWX,5
1136,UGC,5
1137,YXJ,5
1138,CGY,5
1139,LGK,5
1140,GZT,5
1141,MXZ,5
1142,AXT,5
1143,TEN,5
1144,PEG,5
1145,PEE,5
1146,TAH,5
1147,GNV,5
1148,NQY,5
1149,SIP,5
1150,ECP,5
1151,SHV,5
1152,EBA,5
1153,IQQ,5
1154,GRQ,5
1155,MAS,5
1156,OIT,5
1157,YVO,5
1158,VFA,5
1159,SWF,5
1160,YPM,5
1161,RGI,5
1162,ZIH,5
1163,CUZ,5
1164,ZCL,5
1165,EFL,5
1166,KTA,5
1167,NVT,5
1168,MOB,5
1169,HLN,5
1170,MJF,5
1171,ILM,5
1172,TWU,5
1173,EIS,5
1174,VNS,5
1175,QSF,5
