,Airport,Ranking
0,FRA,2.6904805456573966
1,CDG,2.635608079710929
2,IST,2.6197985463023765
3,AMS,2.604546485202568
4,ATL,2.546193077979558
5,ORD,2.397387208599354
6,PEK,2.3625492207279875
7,DFW,2.1678517522736684
8,DME,2.1391043608716402
9,MUC,2.1289205811792633
10,DXB,2.0651623501923075
11,DEN,2.0018417375515756
12,IAH,1.964634485738448
13,LHR,1.9489310804430247
14,JFK,1.9170248227565612
15,LGW,1.868555249825364
16,BCN,1.8207647395752216
17,FCO,1.7969451182903595
18,EWR,1.7771505643310113
19,LAX,1.7659459751057258
20,PVG,1.7618987947901181
21,MAD,1.7599835859925397
22,YYZ,1.7222516919975237
23,CAN,1.7214985412367567
24,STN,1.6985486309052424
25,BRU,1.66197903208154
26,DUS,1.6540383996642323
27,CLT,1.6271419676706342
28,SVO,1.625915959727379
29,MAN,1.6256786778210692
30,DUB,1.6118848958155767
31,DTW,1.596533064692897
32,LAS,1.5858228492924435
33,HKG,1.557070717161217
34,MIA,1.5521707979086274
35,VIE,1.549381317997717
36,MSP,1.5489993226295165
37,ZRH,1.5361550064889524
38,ICN,1.5153020152812209
39,SIN,1.4572268858609276
40,IAD,1.4165379101963682
41,PHL,1.4156153086788485
42,PMI,1.3995892390910123
43,BKK,1.3939105644339118
44,ARN,1.3805340670510267
45,CPH,1.3675231327977846
46,ORY,1.3593946996043305
47,DOH,1.3433298341442996
48,KUL,1.285485933003438
49,AGP,1.2826413998149948
50,LED,1.2704179990736904
51,CTU,1.2438585607958352
52,MXP,1.2426998594279721
53,TXL,1.240757025880633
54,SFO,1.2338438244624301
55,NRT,1.2113899683633877
56,BOS,1.2017673684130696
57,MCO,1.2000979880673468
58,TPE,1.1835861648774042
59,SEA,1.1735847516989895
60,ATH,1.1699920565032778
61,OSL,1.164448827302273
62,LIS,1.1514976285483627
63,FLL,1.1421480668365518
64,GVA,1.1219679907882005
65,SAW,1.1189873149573555
66,YUL,1.1148201845080028
67,JED,1.1122347273111184
68,MEX,1.1121892300156722
69,DEL,1.1044456473209459
70,SLC,1.0949767117350395
71,KMG,1.0925691537263693
72,PHX,1.0905697041282023
73,ALC,1.0702035102172234
74,PRG,1.0549140469044878
75,DCA,1.0467486761277063
76,SYD,1.0359556313448077
