,Airport,Ranking
0,ATL,23.5616076063367
1,LHR,21.39732617659281
2,SIN,20.80014830935631
3,CDG,20.229551995970912
4,LAX,19.90354955389134
5,FRA,18.474646373952684
6,DXB,16.898262248676478
7,JFK,16.28211031196882
8,PEK,16.12678896342612
9,AMS,15.804923906001488
10,MIA,15.786431099766778
11,HKG,15.582088072573251
12,ICN,15.251493226895539
13,ORD,15.04962585885676
14,BKK,14.75124288736725
15,SYD,14.720352555272685
16,DEN,13.95663555218871
17,NRT,13.288342921983771
18,DFW,13.158188919917729
19,BNE,13.045004366673748
20,IST,12.968925398331988
21,YYZ,12.899399166347395
22,KUL,12.752238675509991
23,PVG,12.492120510206767
24,MAD,12.310844908883716
25,GRU,11.728614105738698
26,BCN,11.392373973579035
27,MUC,11.230751515182593
28,FCO,10.704577310720326
29,BRU,10.650513448962847
30,DME,10.455997504520342
31,BOG,10.235900040729508
32,JNB,10.063571464516734
33,AUH,10.054792217547114
34,LGW,9.894597428522403
35,ANC,9.883968783128086
36,CAN,9.868182018311456
37,SEA,9.806537026806982
38,DEL,9.507081627152369
39,NBO,9.316406828928132
40,AKL,9.27043967661691
41,ARN,9.119520316970666
42,EWR,8.986757996251043
43,MEL,8.914204020482352
44,SFO,8.874804500133438
45,BET,8.854651210528207
46,CGK,8.843115447883807
47,PHX,8.837856086917226
48,VIE,8.79036523930231
49,LAS,8.788889456004362
50,MAN,8.751953221360171
51,LIS,8.717128878023535
52,YUL,8.60496704238557
53,ADD,8.509053749433658
54,IAH,8.468036950757382
55,PHL,8.46460258882661
56,TPE,8.41792328541849
57,MEX,8.386759164177057
58,DOH,8.34666829839967
59,CLT,8.333000636698536
60,SVO,8.103734004899511
61,PPT,7.976023437628208
62,MCO,7.934178044434924
63,DUS,7.88709773414216
64,BOM,7.849968378124435
65,MSP,7.841101581216355
66,BSB,7.693101798608295
67,CTU,7.520406695142252
68,YVR,7.46155926825211
69,PMI,7.456492638970529
70,JED,7.427070879164979
71,LED,7.400802995610073
72,ZRH,7.35684826079387
73,SCL,7.292806050185638
74,IAD,7.281034595660569
75,BOS,7.246961592521619
76,ORY,7.239088332399983
77,FAI,7.152235827707026
78,FLL,7.067682991838265
79,MNL,7.012070680466081
80,XIY,6.882556723916288
81,OSL,6.849816247462727
82,LIM,6.8214284063975
83,CKG,6.807894855142737
84,CPH,6.7494657680293075
85,KMG,6.7385226454005736
86,CUN,6.667403611663601
87,ATH,6.630082153613563
88,CAI,6.626396481597932
89,CMN,6.584973141085
90,DTW,6.437356310219218
91,HEL,6.351563614417127
92,AGP,6.27814710898111
93,HGH,6.182269956688697
94,PTY,6.0807920490922776
95,DUB,6.042804066850909
96,DPS,6.020826857172404
97,KIX,6.0149519070785225
98,GIG,5.979926311116959
99,HNL,5.9030466852678325
100,MXP,5.892315300904817
101,TXL,5.838806032042498
102,POM,5.623162896913401
103,SHA,5.6025971031750235
104,XMN,5.463130425425077
105,CMB,5.3953159792860115
106,PER,5.394664837867992
107,PRG,5.344577873045609
108,DCA,5.328674142050781
109,ALC,5.30141037291499
110,AEP,5.240117167179257
111,SJO,5.207126251172022
112,PAC,5.200348898508354
113,HND,5.1372324300324745
114,SZX,5.110691141192464
115,YEG,5.080972503696443
