,Airport,Ranking
0,ATL,43.2138348902037
1,ORD,26.644828012572685
2,PEK,26.078185889234486
3,CDG,25.396880501393124
4,LHR,25.257059683312264
5,FRA,24.443368026878556
6,LAX,23.874888085520727
7,DFW,22.748714539368017
8,AMS,22.42941458367144
9,JFK,22.33591764039863
10,PVG,20.07163548885264
11,SIN,19.74588671494077
12,BCN,19.1686317211011
13,IST,18.536922831708594
14,DEN,18.28456723568928
15,MUC,17.981045544667072
16,ICN,17.9032599812481
17,DXB,17.734526602342545
18,MIA,17.666242834836044
19,LGW,17.40658940295803
20,HKG,17.237626592719156
21,CAN,16.556376114619148
22,DME,16.44328059319614
23,FCO,16.421280475933155
24,MAD,16.27543489447732
25,BKK,16.030175669158897
26,YYZ,15.710748342777146
27,BRU,15.609725427055565
28,CTU,15.477762336161321
29,MAN,15.361754591021976
30,VIE,15.212009486454495
31,CLT,14.73561516460419
32,DUS,14.190342555877843
33,PHL,14.085513013672763
34,NRT,14.020957670051654
35,PMI,13.601742761552279
36,XIY,13.354450839456074
37,KMG,13.063572849443545
38,CKG,12.939831840861844
39,TPE,12.830271288307964
40,DEL,12.773626179365712
41,EWR,12.721226463705085
42,KUL,12.631316006448241
43,LAS,12.556976034000238
44,PHX,12.485878955254911
45,ZRH,12.408613741069384
46,IAH,12.395636783602185
47,SFO,12.213229527256793
48,HGH,12.01834625366324
49,MEX,11.794690573905264
50,ARN,11.701585316629624
51,MCO,11.632245524532866
52,AUH,11.525925938401352
53,CPH,11.421643154938552
54,SZX,11.282816921153268
55,XMN,11.128253824272422
56,DTW,11.049797859321759
57,LIS,10.988344874739498
58,BOM,10.90686762561815
59,MSP,10.663378982591968
60,DUB,10.554223453209966
61,BOS,10.493007384330578
62,TXL,10.486354199115961
63,ATH,10.454107156008241
64,ORY,10.331438730738176
65,SYD,10.309269325537034
66,SVO,10.220567579291895
67,AGP,10.194084791553705
68,SEA,10.041384367824051
69,SHA,9.906106791953126
70,MXP,9.722262492063894
71,DOH,9.631145334280632
72,IAD,9.614557706396802
73,GRU,9.551529346392803
74,DCA,9.478396836858721
75,MNL,9.416179964329547
76,LED,9.372838187046924
77,FLL,9.369855038519406
78,YUL,9.357040746444197
79,OSL,9.227678794062115
80,JED,9.186815950432559
81,CSX,9.089119552617658
82,PRG,9.011563756964323
83,WUH,9.005326958970247
84,TAO,8.956889552785558
85,STN,8.939679617582845
86,CGK,8.75668608759444
87,CGO,8.308552467270644
88,GVA,8.259083702699856
