,Airport,Ranking
0,ATL,48.5927074571296
1,ORD,32.02697775865152
2,CDG,31.619337708416282
3,FRA,30.77744303866788
4,PEK,30.38053107542794
5,AMS,28.646634592505485
6,LHR,25.493208390734313
7,IST,25.45773141644542
8,MUC,23.304924684605403
9,LAX,23.252554582975282
10,DME,22.641330728202213
11,DXB,22.631764068716468
12,DFW,22.522226801669685
13,JFK,22.325878413592505
14,BCN,19.585995638685333
15,PVG,19.035568882706343
16,SIN,18.59944226972304
17,DEN,17.847284341545535
18,LGW,17.706868324478034
19,MIA,17.238488404372955
20,ICN,17.108102835738368
21,FCO,16.86836226386666
22,MAD,16.544599382563447
23,HKG,16.390232100032584
24,BRU,15.926550150317615
25,VIE,15.894300687645604
26,MAN,15.766433593300736
27,YYZ,15.647207495480362
28,CAN,15.53819135386202
29,BKK,15.462702708429454
30,DUS,14.722731527932492
31,CLT,14.644757317400456
32,CTU,14.393740106736464
33,PHL,14.079508697903378
34,PMI,13.862612631959676
35,NRT,13.506123942628127
36,ZRH,12.783537954568406
37,EWR,12.707424197736511
38,DEL,12.555121612235046
39,IAH,12.387765486138052
40,XIY,12.369001693114575
41,LAS,12.30668310497481
42,PHX,12.143642940500307
43,KMG,12.087110088300944
44,SFO,12.069939125825192
45,TPE,12.008008310722452
46,KUL,12.00260116838805
47,CKG,11.981911301160562
48,CPH,11.78341344495266
49,AUH,11.704971128376094
50,MCO,11.479935276498605
51,MEX,11.439111840924234
52,ARN,11.367110839614394
53,LIS,11.28051961351758
54,HGH,11.180203334688201
55,DTW,11.109218807798182
56,TXL,10.86773713610011
57,ATH,10.845684895435543
58,DUB,10.795873249167137
59,BOM,10.759877336180061
60,SVO,10.670904496389479
61,MSP,10.593594419129047
62,BOS,10.497810362629622
63,SZX,10.447105901221352
64,AGP,10.437425901952553
65,ORY,10.354344823699341
66,XMN,10.348244056986507
67,LED,10.141769434555032
68,MXP,9.943912445751605
69,SEA,9.870248870973851
70,DOH,9.83482905088078
71,IAD,9.753287531727784
72,OSL,9.421030382244334
73,DCA,9.403776884007202
74,PRG,9.376165500527101
75,JED,9.346936990141451
76,YUL,9.340561703849579
77,SYD,9.291568043226258
78,SHA,9.19769394901922
79,FLL,9.179990540296744
80,STN,9.033267267511293
81,GRU,8.935922006008358
82,MNL,8.761027170039192
83,GVA,8.530251759852568
84,CSX,8.41539140303127
85,WUH,8.363729336659375
86,HEL,8.361157215494712
87,TAO,8.34942867656972
88,HAM,8.283786753819951
89,JNB,8.105889169710048
90,SAW,8.081041552977686
91,ALC,8.052622145062385
92,TFS,8.046483957858067
93,CAI,7.988112968908205
94,CGK,7.972522976875651
95,LPA,7.790357209938454
96,LGA,7.7156753959462865
97,CGO,7.689087677315227
98,YVR,7.581633360605545
99,CUN,7.49863183900456
100,HND,7.450618865041763
101,BWI,7.418479634260024
102,NKG,7.356688002619196
103,LYS,7.269676807565068
104,BOG,7.2508280124571645
105,RUH,7.2175447043064604
106,TLV,7.136626832741168
107,STR,7.092717062313293
108,NCE,7.042721641824853
109,KIX,7.037649185546825
110,URC,7.026178713746356
111,CGN,6.946422861194846
112,SLC,6.873943294989759
113,BHX,6.821891223513803
114,MRS,6.765612953341536
115,TPA,6.729283127808109
116,NBO,6.625224972553478
117,CMN,6.6184483819793005
118,AYT,6.5574642169878015
119,BNE,6.553605488531039
120,TSN,6.545888581595322
121,DLC,6.518287471846112
122,MDW,6.513480106233924
123,VCE,6.423920434282234
124,WAW,6.370502229161323
125,SHE,6.286832623499546
126,EDI,6.1998614194983706
127,KWE,6.085463793108337
128,KWI,6.0748596671970665
129,MEL,6.044855950048497
130,HRB,6.011937699177616
131,CTA,5.98359256175041
132,MLA,5.974147870580762
133,OTP,5.966884129354983
134,TNA,5.956900692112367
135,AMM,5.949277459117218
136,FOC,5.944562319444702
137,MSY,5.930171398103004
138,ACE,5.8254694053527585
139,SAN,5.77869161039804
140,PDX,5.721997686101928
141,HER,5.670497001675048
142,YYC,5.610839700882782
143,ADD,5.601546304370394
144,SVX,5.568078064003321
145,LTN,5.559168123187597
146,KBP,5.50493736714117
147,AKL,5.478831376016379
148,HNL,5.435491260285281
149,RIX,5.413461810912964
150,FAO,5.381718131653792
151,LIM,5.347976518853163
152,STL,5.282141346082411
153,SHJ,5.279035194803587
154,MCT,5.273502869961343
155,IBZ,5.262530555980794
156,OPO,5.260392804148805
157,BRS,5.246998644160429
158,PTY,5.230340856628862
159,SGN,5.223125412739721
160,BUD,5.201387355385074
161,NNG,5.120240796351016
162,LCA,5.083011173257601
163,BSL,5.0289103327279046
164,TYN,5.02851089068387
165,SJU,4.936795577669121
166,EMA,4.935033384091193
167,GLA,4.930570899817372
168,CMB,4.904634346449087
169,SYX,4.903726385941446
170,OVB,4.898694100468041
171,MAA,4.881434342482788
172,FUE,4.8226653102018675
173,TUN,4.811816396767498
174,KWL,4.803618127555906
175,HAK,4.7810236060050775
176,ALG,4.7348217681852
177,NTE,4.726339483908317
178,VKO,4.717857382106655
179,BLQ,4.696463351606523
180,SKG,4.6862767254823465
181,BLR,4.677752099765378
182,RHO,4.557524131599378
183,BEG,4.557406994633454
184,CRL,4.509237697287412
185,CCU,4.462253963184438
186,GIG,4.451621327015998
187,DPS,4.448230353448001
188,TAS,4.416215757573805
189,BAH,4.403642834222027
190,GDL,4.370447822307503
191,SXF,4.3703588226526815
192,TLS,4.3588899697660395
193,CCS,4.358034182425104
194,BGY,4.353230946924127
195,DMM,4.320108083063653
196,VLC,4.30398285455351
197,BSB,4.217787763296739
198,NCL,4.185802063833576
199,HAN,4.182962552616949
200,NAP,4.16852922453717
201,LBA,4.166234580688343
202,RDU,4.093884696313637
203,AUS,4.091780604395295
204,BNA,4.0667822147175565
205,CLE,4.063412075772047
206,HET,4.0408172531769635
207,PER,4.0344960954831475
208,NGO,4.029646378117871
209,HAJ,4.029646176575126
210,PSA,4.024461877632646
211,KHN,3.9463180717321498
212,FUK,3.9124105868946164
213,NGB,3.8817034646475874
214,LHW,3.8067759183340715
215,CVG,3.8048195258100694
216,NAY,3.795194457770239
217,MCI,3.7930959119869843
218,LUX,3.7749476390909833
219,ADB,3.7682396185645866
220,CTS,3.7409333306088457
221,RAK,3.7149524840834096
222,PUS,3.711230895198383
223,SJW,3.7073601053844953
224,ALA,3.692741519363869
225,DAC,3.6774569288963375
226,WNZ,3.6727853548708027
227,MFM,3.659731977709986
228,SCL,3.6588174864398266
229,PIT,3.6571234934903174
230,PUJ,3.62238574680825
231,SJO,3.5882325136919913
232,EIN,3.582047951865235
233,GYD,3.570086325682171
234,BGO,3.559825481690622
235,EZE,3.5567043501108957
236,BOD,3.543972820367964
237,BEY,3.542558231777544
238,HOU,3.5301482354767924
239,HFE,3.524766078686032
240,SOF,3.4897713543362694
241,HYD,3.4832469100041763
242,MTY,3.470635954863012
243,YEG,3.4539470481976813
244,LCY,3.449319891881419
245,IKA,3.448389354610787
246,IND,3.404271653048543
247,NAS,3.3966042091702553
248,SAT,3.3316861983906754
249,PMO,3.305240502717072
250,KHI,3.300535710576104
251,BIO,3.2699216856267155
252,DKR,3.239667370840617
253,RSW,3.2341169138713988
254,DBV,3.212354057484538
255,DMK,3.2093375511970135
256,CMH,3.206005455564767
257,MHD,3.190474553113213
258,ANC,3.18287818393382
259,SVQ,3.1786701482361397
260,BVA,3.1780990185218823
261,HKT,3.1707699152203794
262,MED,3.1565799768599176
263,LIN,3.142363838882134
264,VNO,3.133758195516277
265,THR,3.1323585667908453
266,LOS,3.1313359415395547
267,ESB,3.1207502585101787
268,ISB,3.107673835531177
269,KRK,3.0953510388196905
270,CGQ,3.0950467838466214
271,INC,3.0906389801246963
272,LPL,3.0717693926933576
273,KHH,3.042699346412544
274,MSQ,3.0345163411081013
275,DLM,3.018140565376954
276,AEP,2.9910149411127693
277,DYU,2.988013357311018
278,MKE,2.962031139681611
279,SJC,2.935250467817629
280,LJG,2.920686177180192
281,OKA,2.8995632226270938
282,TSE,2.8828290303285584
283,GOT,2.8780457146944207
284,LHE,2.8708638583208272
285,SUB,2.8526516537850104
286,CFU,2.844137669461526
287,COK,2.841400604871897
288,SXM,2.823304937745042
289,CJU,2.82109207116432
290,OAK,2.7955344017641255
291,FLR,2.7554229451322034
292,ZUH,2.7506236527978425
293,BRE,2.7474271551949965
294,SVG,2.7372543762732677
295,OLB,2.7229552555390635
296,MEM,2.716248748753507
297,FNC,2.7108749471249824
298,GDN,2.708539891827869
299,ACC,2.6816755612923986
300,CIA,2.679247646839362
301,BRI,2.6759025866192787
302,YHZ,2.645385361527655
303,VCP,2.639171897651928
304,GRO,2.6376945318985765
305,SMF,2.6113476560289803
306,SPU,2.5936243137453134
307,BLL,2.5907568520874906
308,KJA,2.5899352949956342
309,YNT,2.583870718346839
310,KRR,2.583189906877255
311,BDL,2.5821230375130755
312,SSA,2.574184559990399
313,SFB,2.556353463803524
314,SAL,2.5379650730422085
315,EVN,2.5254859387203146
316,HHN,2.512562808039099
317,NUE,2.512466638835265
318,CNS,2.509331449316216
319,KGS,2.5053148256767517
320,ABJ,2.499664415234228
321,FRU,2.4845621280196513
322,TIP,2.4827778847539497
323,CHQ,2.4646572895139873
324,KEF,2.454443963728106
325,SJD,2.4350484289368644
326,DLA,2.4220917523058483
327,CNF,2.417130279274684
328,UPG,2.4145502806038106
329,BKI,2.409020084282453
330,LAD,2.3978349119470095
331,DWC,2.3889503100055682
332,ADL,2.3630158121129674
333,SDQ,2.3533191180030064
334,NBE,2.349985960372787
335,RGN,2.3372872875543984
336,ZAG,2.3290413348949794
337,POM,2.318561729366503
338,CAG,2.2953258903834315
339,XNN,2.2776125985425124
340,JAX,2.271876512238027
341,AUA,2.2678636697722725
342,TRN,2.250239660133051
343,YOW,2.242558979465421
344,IKT,2.235556091574592
345,MBJ,2.2351151988779194
346,KTM,2.22956290401383
347,CNX,2.2168360074455755
348,PFO,2.2121815920094074
349,CEB,2.2095245284065506
350,PVR,2.199842092146851
351,PBI,2.199038718675711
352,TRD,2.1692394591766027
353,SNA,2.1655336822339932
354,ABZ,2.1598259408051725
355,WUX,2.1477848310938046
356,HAV,2.134150948703798
357,LEJ,2.1168036683631932
358,MRU,2.1156514953321413
359,SDF,2.1117772449270102
360,KRT,2.103731530373321
361,HRG,2.0843195629913884
362,MLE,2.0835555246271884
363,LIL,2.078811727512414
364,CPT,2.071714508495469
365,CGH,2.0656976297924476
366,YWG,2.0548478154284395
367,TSF,2.049818818432119
368,ABQ,2.049296033628774
369,HBE,2.041085164401801
370,NRN,2.036101038606186
371,OKC,2.034855671772039
372,TRV,2.034429565701529
373,VRN,2.034261312509747
374,TLL,2.0336045516091192
375,SYZ,2.031051592262173
376,YKS,2.029897595626408
377,AJA,2.0293053209440512
378,OGG,2.022197653991551
379,JJN,2.013640324125836
380,TIJ,2.0122440340175896
381,DRW,2.001287700260432
382,TBS,1.999980202498867
383,JER,1.9980618091787552
384,SAH,1.9919996367410626
385,RYG,1.9875901139673153
386,SSH,1.986134280494549
387,KHV,1.963252443092813
388,KGL,1.9586088178811145
389,TRF,1.9543377597864184
390,ITM,1.9497105230847087
391,CWB,1.934510875917449
392,COO,1.9259784609693658
393,DJE,1.9216083457414812
394,GUA,1.9141085654578145
395,PEN,1.9051464432036438
396,UIO,1.9010281384312777
397,RIC,1.9004904795577384
398,CHC,1.8948686363387028
399,KIV,1.8888471534182893
400,ORF,1.8879579828714512
401,MAH,1.8824386284779226
402,TIA,1.8768827394143288
403,POA,1.8725053457056637
404,BIA,1.867148289004862
405,SXB,1.8632931993384143
406,PPT,1.840478924139619
407,ORK,1.8387971141598825
408,TSA,1.8360286802610586
409,REP,1.8358802984779534
410,MYR,1.8332804745292854
411,BET,1.8325807095245619
412,NAN,1.8324719405420742
413,LJU,1.8312795006316798
414,LBD,1.8209839429923669
415,WRO,1.8099544616437753
416,RTM,1.8088478220576796
417,SZG,1.807319937353253
418,ORN,1.8037460870404771
419,DTM,1.7950348393221605
420,BFS,1.7923547651461171
421,GMP,1.7905912665332573
422,DAL,1.7883832100215011
423,BUF,1.7725663256071946
424,SWA,1.7683510940562996
425,OMA,1.746869709331804
426,LUN,1.7468147295590621
427,CHS,1.7442053798775723
428,BHM,1.7433326462172174
429,SCQ,1.7369760780358838
430,POS,1.7341708838316265
431,CZX,1.7293002359756962
432,AMD,1.71523529979979
433,SOU,1.7049947945727346
434,EBL,1.702270729908137
435,AZA,1.69880196580673
436,DAR,1.6985295325196406
437,BJV,1.6947747946192853
438,GYE,1.6865118914448927
439,TFN,1.6793140266549327
440,EBB,1.6754174678876044
441,ANU,1.6713388224475438
442,NYO,1.6711918172879237
443,WLG,1.668054312784208
444,PNQ,1.6572911541763722
445,FAI,1.6555845688423378
446,PIE,1.6537822377251339
447,AHO,1.6494461862984997
448,OUA,1.633211349677088
449,GUM,1.6279433748816299
450,ROV,1.6259452297374892
451,OSS,1.624396364519169
452,ABV,1.6212979834308068
453,REC,1.615263058566406
454,KZN,1.6127086648410187
455,DAY,1.6100606301022653
456,CWL,1.5956682682396832
457,STT,1.5875171956916192
458,HRE,1.572474513828717
459,DAD,1.5678720427517614
460,TYS,1.5641148534482334
461,CUR,1.5616492708875178
462,PLS,1.5418141336832025
463,TUS,1.5406122800709492
464,PEW,1.5366151268146808
465,ROC,1.5340104457991726
466,SNN,1.5307340750008505
467,BPN,1.530683896351843
468,FOR,1.530467277220263
469,KUF,1.5301525093744865
470,CCJ,1.5283664702669006
471,KTW,1.5100058703766348
472,AER,1.4931300575622628
473,TPS,1.480462262819361
474,PNH,1.4769445427960575
475,AGA,1.4759867637325126
476,GAU,1.4730996320034626
477,ALB,1.4707895143398997
478,GSP,1.4706581282423794
479,YQB,1.460478305151599
480,LIT,1.4515401451592278
481,GRR,1.4505275998681884
482,CGB,1.446578720089869
483,SDJ,1.4338877858570254
484,RMQ,1.4327323402823624
485,FIH,1.4321127561458291
486,ZAD,1.4280814584348516
487,DSM,1.42196860915183
488,RNO,1.4205379202361612
489,TUL,1.4164650456592744
490,KIN,1.4136884486354506
491,PVD,1.4106910201145815
492,YCU,1.4033452512378533
493,GOI,1.4015560249692316
494,BAV,1.3985448776709424
495,WMI,1.3888345197293708
496,LXA,1.3853644234980762
497,TOS,1.3838602631628956
498,PTP,1.3790699718874386
499,GCM,1.3660764325269419
500,KBL,1.3650757907340862
501,BKO,1.3567672971871259
502,UFA,1.353351738149579
503,TNR,1.3492199640734084
504,SUF,1.3439225281311409
505,BZE,1.3438107506299017
506,VVO,1.3410616628089382
507,YZF,1.3393150653520616
508,SYR,1.339067648747386
509,SDU,1.3325920779636082
510,BEN,1.3278366702113222
511,OOL,1.3265237360291346
512,SKP,1.3224299759211071
513,TJM,1.3216683223101926
514,BMA,1.3094252521898488
515,PDL,1.3088683554759062
516,GSO,1.3084907736144868
517,VLI,1.2982296944723126
518,MPL,1.298157582697117
519,MAO,1.2941312162610072
520,BEL,1.2910203913481921
521,BZV,1.2905253213844987
522,SZB,1.2892617826813393
523,OME,1.2825111097156583
524,TXN,1.2797814635982
525,EXT,1.2760387908204514
526,PSP,1.272425445339932
527,ONT,1.2707863999260782
528,CLO,1.2655831327011744
529,JOG,1.2646997516830643
530,MRV,1.2620102562499491
531,MDE,1.2577477329316968
532,DSN,1.251635150809484
533,OTZ,1.2387984949907145
534,XNA,1.2353801497561996
535,LBV,1.2334503600296531
536,BTH,1.229489157313716
537,FMM,1.2209497102538125
538,SCO,1.2168674119700564
539,DRS,1.2072368038411854
540,AWZ,1.2060770523884643
541,VTE,1.2055247626202992
542,LPB,1.1885817497600495
543,IEV,1.1863728897030483
544,PRN,1.1856219284943132
545,KCH,1.1854086842676463
546,BGI,1.1812918429186754
