,Airport,Ranking
0,ATL,44.47276716816611
1,ORD,27.984433274985776
2,PEK,26.965719227401348
3,CDG,26.955474326008602
4,FRA,26.00953937497048
5,LHR,25.335430531862098
6,AMS,23.774687634974256
7,LAX,23.764256974495822
8,DFW,22.73469100634704
9,JFK,22.36805683832243
10,IST,20.05655746400672
11,PVG,19.94246084060363
12,SIN,19.576832270402875
13,BCN,19.279327330972087
14,MUC,19.148045738214137
15,DXB,18.858908660051025
16,DEN,18.21083435271948
17,DME,17.906317977328996
18,ICN,17.80591187561949
19,MIA,17.602789393284752
20,LGW,17.49292995048999
21,HKG,17.128861554616854
22,FCO,16.539407866976298
23,CAN,16.42286045838462
24,MAD,16.357598733306386
25,BKK,15.963852911086814
26,YYZ,15.711261551197904
27,BRU,15.699187987287695
28,MAN,15.465977182630466
29,VIE,15.373182812559977
30,CTU,15.332363668501964
31,CLT,14.737354666646713
32,DUS,14.318560421281218
33,PHL,14.104534500860586
34,NRT,13.956180493522409
35,PMI,13.675413072637237
36,XIY,13.219795815993354
37,KMG,12.929227782593758
38,CKG,12.807845880214632
39,DEL,12.76879631455504
40,EWR,12.731014360157983
41,TPE,12.714211285225907
42,KUL,12.54707403791921
43,LAS,12.516112092980679
44,ZRH,12.502890092987215
45,PHX,12.4230978248179
46,IAH,12.413108343185751
47,SFO,12.203266880718282
48,HGH,11.904514076951141
49,MEX,11.742534498476047
50,MCO,11.617056113684114
51,AUH,11.592855806806833
52,CPH,11.497426710843436
53,SZX,11.1676448835575
54,ARN,11.126167519762939
55,DTW,11.078686860545123
56,LIS,11.06325038773459
57,XMN,11.021697569228726
58,BOM,10.909769881543577
59,MSP,10.657705374955464
60,DUB,10.619355050303842
61,TXL,10.57111271857686
62,ATH,10.549622399817473
63,BOS,10.509697240761666
64,ORY,10.352611339688448
65,SVO,10.33227907757884
66,AGP,10.256705938514274
67,SYD,10.097969088830359
68,SEA,9.987789150651809
69,SHA,9.810073959969854
70,MXP,9.785981417262846
71,DOH,9.695428108901563
72,IAD,9.65762266525642
73,LED,9.556024707800832
74,DCA,9.475366627520966
75,GRU,9.425474938492794
76,YUL,9.352023983319615
77,FLL,9.342075957945298
78,MNL,9.315502806106092
79,OSL,9.270367627411948
80,JED,9.243563901442048
81,PRG,9.094878333351398
82,CSX,8.996376422920362
83,STN,8.97282289215538
84,WUH,8.918308709972637
85,TAO,8.874305896919608
86,CGK,8.628113284391514
87,GVA,8.32078339080252
88,CGO,8.22345741202858
89,JNB,8.148378136520554
90,HEL,8.143771821286311
91,HAM,8.071712529700632
92,ALC,7.935128664408546
93,TFS,7.917584499432339
94,NKG,7.832867768712061
95,HND,7.8089845141687295
96,CAI,7.77775207809801
97,LGA,7.745753757709286
98,YVR,7.739756759012825
99,LPA,7.692302683135298
100,SAW,7.651532390663939
101,BOG,7.6126803784736055
102,CUN,7.598149277089517
103,BWI,7.4850264790442855
104,KIX,7.362148704158901
105,URC,7.329253474030051
106,BNE,7.191068225859214
107,RUH,7.134184951829682
108,LYS,7.105082676707455
109,TSN,7.019265715296091
110,SLC,6.984223621745381
111,DLC,6.921393845585117
112,STR,6.915912847952129
113,TLV,6.895904076302251
114,NCE,6.892674325086883
115,CGN,6.786491624094145
116,TPA,6.7824015525056796
117,BHX,6.688168044410733
118,SHE,6.653705884975182
119,MRS,6.641489979688497
120,MDW,6.61551987354041
121,NBO,6.576755245462971
122,MEL,6.553220935455109
123,KWE,6.5143618126745775
124,CMN,6.469991852919745
125,TNA,6.372150716358586
126,FOC,6.34563961481038
127,HRB,6.343611828683848
128,AYT,6.320895581709427
129,VCE,6.2678743376075845
130,WAW,6.155403591186168
131,EDI,6.097887260993832
132,AKL,5.990720284806528
133,KWI,5.950732003563049
134,MSY,5.9278516046653875
135,SAN,5.859075926524806
136,PDX,5.816466547457545
137,CTA,5.809811782324572
138,MLA,5.806965859550935
139,OTP,5.787394634088964
140,ACE,5.765037627171865
141,AMM,5.701173930133881
142,HNL,5.673492211553434
143,YYC,5.669525589855331
144,LIM,5.61615348763806
145,ADD,5.56197667179059
146,LTN,5.49056880922122
147,HER,5.470888367520503
148,NNG,5.470715648089556
149,SGN,5.422048379933315
150,PTY,5.387094179088295
151,TYN,5.367871807286787
152,STL,5.322652872852321
153,FAO,5.292916702082364
154,SVX,5.236464938471449
155,SHJ,5.224685028808757
156,RIX,5.2216416367590766
157,MCT,5.218025587204802
158,SYX,5.217339076140925
159,KBP,5.194123085303664
160,OPO,5.194099793687115
161,IBZ,5.16996589016913
162,BRS,5.161890236542076
163,KWL,5.119552928769108
164,HAK,5.092256099347875
165,BUD,5.083160567432072
166,SJU,5.005411191417834
167,MAA,4.998215093660091
168,CMB,4.944120348754018
169,LCA,4.908125237634385
170,EMA,4.898416001078132
171,GLA,4.870607544410045
172,BSL,4.86113062547403
173,DPS,4.849564441280955
174,BLR,4.775520362965778
175,FUE,4.746432150691417
176,GIG,4.692835866518311
177,CCU,4.683226489407409
178,NTE,4.647638389881779
179,TUN,4.6440002127032125
180,OVB,4.637352957599395
181,BSB,4.620586187400561
182,ALG,4.614791193585209
183,BLQ,4.576060407399097
184,VKO,4.544942333023972
185,CCS,4.539086300108417
186,GDL,4.497455549930256
187,SKG,4.493743663869664
188,CRL,4.490452160867399
189,RHO,4.403142046196163
190,PER,4.375324369609803
191,BEG,4.371640115156905
192,HAN,4.347041605381437
193,BGY,4.3378147418707576
194,BAH,4.329678618776211
195,SXF,4.315356311578693
196,HET,4.258759824093751
197,NGO,4.229461596605285
198,DMM,4.229440839487216
199,TLS,4.218558958223313
200,KHN,4.203993966346807
201,VLC,4.19056766436337
202,TAS,4.186150706418515
203,FUK,4.164116593052737
204,AUS,4.131652123148593
205,NGB,4.1229627629275285
206,RDU,4.114842790746139
207,LBA,4.103708894660479
208,NCL,4.102709799194605
209,BNA,4.095561791107539
210,CLE,4.095341353460661
211,LHW,4.053457425134841
212,NAY,4.041709564068399
213,NAP,4.034193709181813
214,PSA,3.9901475453383317
215,CTS,3.986767922177416
216,SJW,3.9858311860041837
217,PUS,3.9201611192490367
218,WNZ,3.9125572880383714
219,HAJ,3.9122796122806625
220,MFM,3.89896846005752
221,SCL,3.8852915853692576
222,MCI,3.818481836461206
223,CVG,3.793550071886412
224,HFE,3.7617075771196107
225,DAC,3.7432392518601265
226,SJO,3.7245611656941953
227,EZE,3.7099449606095303
228,RAK,3.6768153725185595
229,LUX,3.6722669797743457
230,PIT,3.6589279626675224
231,HOU,3.5720173872824965
232,MTY,3.5684862963336026
233,YEG,3.565334453110825
234,HYD,3.564360834008969
235,PUJ,3.5628119603231188
236,EIN,3.55997507467758
237,ADB,3.5300806280251598
238,ALA,3.5182000913993217
239,BGO,3.5181720512746146
240,NAS,3.474426362560926
241,BOD,3.4729039755337543
242,DMK,3.4669795242120443
243,BEY,3.4173822076148688
244,IND,3.4162987578466524
245,ANC,3.384960230168703
246,SOF,3.383290941604166
247,LCY,3.3722627637745375
248,SAT,3.361178320067454
249,AEP,3.3483299440239636
250,GYD,3.34428440767139
251,HKT,3.307185473562368
252,KHI,3.279720996091496
253,IKA,3.2755603828272464
254,CGQ,3.272969750027107
255,INC,3.2447233852024033
256,KHH,3.2426859613833567
257,DKR,3.2379476557737443
258,RSW,3.225232578448314
259,CMH,3.2185694868032475
260,PMO,3.1980070573894275
261,BIO,3.187053017461883
262,MHD,3.1751944673844963
263,THR,3.1705073612436276
264,BVA,3.16793080999726
265,SVQ,3.147198791801824
266,SUB,3.137856114617173
267,DBV,3.1263409667008046
268,LJG,3.1123962055942043
269,MED,3.0936636944938987
270,OKA,3.0827427339056475
271,LOS,3.0643157970704613
272,ISB,3.050924409621653
273,LPL,3.0438166451854665
274,VNO,3.042052154438855
275,LIN,3.039383492098291
276,KRK,3.0266043582677233
277,SJC,2.997779564651152
278,CJU,2.985393438892696
279,MKE,2.976970298437631
280,ZUH,2.92792709669289
281,VCP,2.9215665893941694
282,DLM,2.918577902884781
283,ESB,2.9050076730701004
284,OAK,2.8772576821907574
285,SXM,2.864600398362361
286,COK,2.8613965492239255
287,MSQ,2.858291064523527
288,LHE,2.8324675983507297
289,SSA,2.7942011289862547
290,DYU,2.792468951323389
291,CNS,2.764263066564756
292,GOT,2.758474052490461
293,CFU,2.7448784235979167
294,YNT,2.732351160758206
295,TSE,2.720287518287605
296,MEM,2.714688158884785
297,UPG,2.7112363223193654
298,YHZ,2.6826676898542474
299,SVG,2.6762160567320006
300,CIA,2.6724207363476253
301,FLR,2.667759179487095
302,SMF,2.6605584072252055
303,BRE,2.656692121816931
304,ACC,2.656340671733855
305,GDN,2.6548747171804905
306,CNF,2.6538569538367645
307,FNC,2.6470298423300815
308,OLB,2.640570504219253
309,POM,2.6290758426443857
310,GRO,2.6218541220777807
311,BRI,2.614685108284181
312,SAL,2.606015388664119
313,BKI,2.598254771874124
314,BDL,2.582195005955244
315,ADL,2.5622806309125337
316,SFB,2.550517902479888
317,SPU,2.511818830755819
318,HHN,2.5086260061994805
319,ABJ,2.4978144102940396
320,BLL,2.4967012761603216
321,RGN,2.495405079301314
322,SJD,2.4594281193003367
323,KJA,2.4399656496878626
324,CHQ,2.421113780008139
325,NUE,2.4172091570339993
326,KGS,2.4167579974613074
