,Airport,Ranking
0,ATL,43.257371585855616
1,ORD,26.663889907734983
2,PEK,26.100495394277697
3,CDG,25.382996877796632
4,LHR,25.24029497517667
5,FRA,24.425539017535375
6,LAX,23.89506067937635
7,DFW,22.772016330244817
8,AMS,22.405782793024215
9,JFK,22.343148367097566
10,PVG,20.095332987224722
11,SIN,19.767483732661823
12,BCN,19.14119327201637
13,IST,18.522661292456192
14,DEN,18.304575432169337
15,MUC,17.958182379940418
16,ICN,17.922459495061062
17,DXB,17.732408822918188
18,MIA,17.681262134967486
19,LGW,17.389758191968436
20,HKG,17.25691416419794
21,CAN,16.57788855237835
22,DME,16.440646338689916
23,FCO,16.405965795253657
24,MAD,16.26478029877126
25,BKK,16.034752292481446
26,YYZ,15.72063580249653
27,BRU,15.5948399485542
28,CTU,15.499567667556708
29,MAN,15.34173001764745
30,VIE,15.186938758701086
31,CLT,14.750693202409256
32,DUS,14.169123764071227
33,PHL,14.096673689847924
34,NRT,14.034673717929994
35,PMI,13.58301142070227
36,XIY,13.373845695165233
37,KMG,13.082454308058356
38,CKG,12.958386879611092
39,TPE,12.846635773108037
40,DEL,12.782667459228385
41,EWR,12.721680972362885
42,KUL,12.644520222022383
43,LAS,12.56925991634421
44,PHX,12.499195767913106
45,IAH,12.407575434734689
46,ZRH,12.394880158621419
47,SFO,12.224409630430088
48,HGH,12.035543139484918
49,MEX,11.807157457337995
50,MCO,11.6431625514534
51,AUH,11.529666980633511
52,CPH,11.398649138611393
53,SZX,11.299276022352952
54,XMN,11.14406611509561
55,DTW,11.060608409771103
56,ARN,11.030635261428491
57,LIS,10.97655978818255
58,BOM,10.914402011046807
59,MSP,10.674376933600096
60,DUB,10.540907687131002
61,BOS,10.50101923501916
62,TXL,10.460055100882768
63,ATH,10.439219500824365
64,SYD,10.323298126361857
65,ORY,10.3220993529675
66,SVO,10.210504285205584
67,AGP,10.176461373628532
68,SEA,10.050862565364154
69,SHA,9.92062791445039
70,MXP,9.717026456714192
71,DOH,9.629637424501425
72,IAD,9.620717313785775
73,GRU,9.56101862086391
74,DCA,9.488651657933865
75,MNL,9.427767512446874
76,FLL,9.375874995747337
77,LED,9.363090339842715
78,YUL,9.362027930069043
79,OSL,9.203503039157203
80,JED,9.190258310184843
81,CSX,9.102400320871904
82,WUH,9.018277325580755
83,PRG,8.992342397865476
84,TAO,8.96960839123146
85,STN,8.928875860483142
86,CGK,8.7682749789408
87,CGO,8.320680575035395
88,GVA,8.241440290795412
89,JNB,8.141156231606661
90,HEL,8.05999702422778
91,HAM,7.99246784230555
92,NKG,7.918413787598726
93,ALC,7.878335495879499
94,HND,7.870499737254085
95,TFS,7.857909665798432
96,YVR,7.7776648202974155
97,LGA,7.7485678816109385
98,CAI,7.701579508252763
99,BOG,7.6976299015780825
100,LPA,7.642613828818813
101,CUN,7.615408949255532
102,SAW,7.520856830083163
103,BWI,7.496708157646867
104,KIX,7.419347018176504
105,BNE,7.392268088545365
106,URC,7.372036051214592
107,TSN,7.106191385943703
108,RUH,7.092199302105741
109,LYS,7.038962536252135
110,SLC,7.013773019058739
111,DLC,6.99437937488407
112,STR,6.84929801686118
113,NCE,6.832378749702175
114,TLV,6.8118524305195365
115,TPA,6.789907820722783
116,CGN,6.7238945425936665
117,SHE,6.717514906325164
118,MEL,6.6892959265717735
119,MDW,6.6393621439286195
120,BHX,6.632850725456995
121,KWE,6.592732031131181
122,MRS,6.5874885335105136
123,NBO,6.553120920471088
124,TNA,6.448029510642606
125,FOC,6.419273641121839
126,CMN,6.410629724353659
127,HRB,6.400198702781092
128,AYT,6.239478819931517
129,VCE,6.209304541939965
130,AKL,6.141606475017913
131,WAW,6.080593225706656
132,EDI,6.052602931869468
133,MSY,5.918993556465235
134,KWI,5.903615381155246
135,SAN,5.876309472749721
136,PDX,5.843069173992465
137,CTA,5.746026043382525
138,MLA,5.744258369808273
139,HNL,5.738006378742509
140,ACE,5.731388994784856
141,OTP,5.722405516108543
142,LIM,5.687675148435383
143,YYC,5.6870670746902565
144,AMM,5.618499488103105
145,ADD,5.5381280016526375
146,NNG,5.53479436212076
147,LTN,5.456156824503548
148,SGN,5.4491259311461295
149,TYN,5.429170209181856
150,PTY,5.424579608904832
151,HER,5.39770998169756
152,STL,5.329332298748411
153,SYX,5.272246357714138
154,FAO,5.252142859641339
155,SHJ,5.195085812222129
156,MCT,5.188210782822363
157,KWL,5.1770214458952255
158,OPO,5.162692959266379
159,RIX,5.153047848693627
160,HAK,5.14888989073392
161,IBZ,5.13014398717217
162,SVX,5.127519233288553
163,BRS,5.124113005570266
164,KBP,5.0941521925979725
165,BUD,5.036237767687605
166,SJU,5.014997001712593
167,MAA,5.012046613389514
168,DPS,4.942554264906106
169,CMB,4.938336785203709
170,EMA,4.87373736901328
171,LCA,4.846113379733114
172,GLA,4.842543845876176
173,BSL,4.801654435769263
174,BLR,4.784629920413313
175,GIG,4.759640303243324
176,BSB,4.735571354159501
177,CCU,4.723425217252242
178,FUE,4.711623979981639
179,NTE,4.61321146186575
180,TUN,4.585143866940064
181,CCS,4.579247053513122
182,ALG,4.568146826040716
183,OVB,4.548708882636703
184,BLQ,4.53064902914135
185,GDL,4.526383444986906
186,VKO,4.484902878543968
187,CRL,4.471375011876782
188,PER,4.4624880408273295
189,SKG,4.425831451332334
190,HAN,4.369207433351771
191,RHO,4.346101562870601
192,BGY,4.320294136666922
193,BEG,4.30794319387086
194,BAH,4.298281589110882
195,HET,4.29624448685414
196,SXF,4.289200655678608
197,NGO,4.264966113485853
198,KHN,4.250602484312457
199,FUK,4.212090206678798
200,DMM,4.1950186733427275
201,TLS,4.167338125675228
202,NGB,4.166567349383848
203,VLC,4.146866229176883
204,AUS,4.138224428928178
205,RDU,4.115813600210618
206,TAS,4.108906868958356
207,CLE,4.099560890259838
208,BNA,4.09908065160175
209,LHW,4.097382926593367
210,NAY,4.084942330559566
211,LBA,4.075870608920001
212,NCL,4.068839040703167
213,SJW,4.036929568189237
214,CTS,4.033925167414285
215,NAP,3.985344440069374
216,PSA,3.9694584230844288
217,PUS,3.9589069907135928
218,WNZ,3.955948537784979
219,SCL,3.949271390438362
220,MFM,3.9432904134934805
221,HAJ,3.8696251659623404
222,MCI,3.8221959988918575
223,HFE,3.8048454664550104
224,CVG,3.7856443990022783
225,SJO,3.762114964793737
226,EZE,3.7522935346505335
227,DAC,3.747888570303286
228,ANC,3.6684131849939607
229,RAK,3.6560452862976933
230,PIT,3.6548434945040484
231,LUX,3.6336316732464025
232,YEG,3.608025923457971
233,MTY,3.5899766546688126
234,HOU,3.580639989899645
235,HYD,3.5742966083193655
236,EIN,3.543435844776677
237,PUJ,3.5396354464022144
238,DMK,3.5166920383807536
239,BGO,3.49749864868021
240,NAS,3.4902173336818056
241,AEP,3.466060412935685
242,ALA,3.460080088555157
243,ADB,3.459052231352075
244,BOD,3.444350625194724
245,IND,3.4159087130680716
246,BEY,3.374347809891656
247,SAT,3.365647684036973
248,SOF,3.34414806671086
249,LCY,3.3427595031531947
250,HKT,3.329958450762211
251,CGQ,3.304684347825226
252,KHH,3.279436048055682
253,GYD,3.2720566172479124
254,INC,3.271003993017434
255,KHI,3.2656652652043303
256,DKR,3.227780220254582
257,IKA,3.220595454504851
