,Airport,Ranking
0,ATL,43.178099793583925
1,ORD,26.61913751759505
2,PEK,26.04048926206396
3,CDG,25.507119317369174
4,LHR,25.275143915271855
5,FRA,24.432804292578627
6,LAX,23.848924489253168
7,DFW,22.72898789137414
8,AMS,22.41198919107119
9,JFK,22.334769925828045
10,PVG,20.045991493509614
11,SIN,19.724983281446086
12,BCN,19.177669663183938
13,IST,18.54451678854481
14,DEN,18.265834596377342
15,MUC,17.957401348114534
16,ICN,17.882672877323408
17,DXB,17.738601907014235
18,MIA,17.654675239022506
19,LGW,17.421823624103958
20,HKG,17.217939732072473
21,CAN,16.5357522635909
22,DME,16.42484235303816
23,FCO,16.415176091045215
24,MAD,16.285565851864863
25,BKK,16.007663279501077
26,BRU,15.737431718480941
27,YYZ,15.700844747719882
28,CTU,15.455425546027456
29,MAN,15.342338047977565
30,VIE,15.187058322843713
31,CLT,14.722605390194877
32,DUS,14.167558592916075
33,PHL,14.075129853507594
34,NRT,14.005275439146379
35,PMI,13.58589314513134
36,XIY,13.334223538815637
37,KMG,13.04433744849404
38,CKG,12.920441413303497
39,TPE,12.813347505933214
40,DEL,12.767045744436539
41,EWR,12.707268736107926
42,KUL,12.618608540249323
43,LAS,12.54492036708253
44,PHX,12.47315327299033
45,ZRH,12.396112314818923
46,IAH,12.387371961809007
47,SFO,12.202499907899718
48,HGH,12.000691604508342
49,MEX,11.78456003460319
50,MCO,11.621908736419785
51,AUH,11.527960866638603
52,CPH,11.399367427275806
53,SZX,11.266019404472281
54,XMN,11.11197877475814
55,DTW,11.04034015773524
56,ARN,11.030156549342513
57,LIS,11.003491761552326
58,BOM,10.904062287828094
59,MSP,10.653658691516979
60,DUB,10.540590403932413
61,BOS,10.487095430739174
62,TXL,10.46189742062002
63,ATH,10.440227213940037
64,ORY,10.342704958902873
65,SYD,10.296877413803232
66,SVO,10.206187421908728
67,AGP,10.182427478774104
68,SEA,10.032153049571631
69,SHA,9.891305940343084
70,MXP,9.725153078995648
71,DOH,9.628180591955658
72,IAD,9.62192284800308
73,GRU,9.548173115374656
74,DCA,9.46932205871274
75,MNL,9.404983723993196
76,FLL,9.357672012582464
77,LED,9.35558205375724
78,YUL,9.354698607756166
79,OSL,9.203069784076025
80,JED,9.193600563570968
81,CSX,9.075554301955322
82,PRG,8.994169273310993
83,WUH,8.99228413735607
84,TAO,8.943764226568856
85,STN,8.92912282813974
86,CGK,8.746300570592096
87,CGO,8.296124399312248
88,GVA,8.246192184347223
89,JNB,8.181460128037665
90,HEL,8.05747599725735
91,HAM,7.99440263824913
92,NKG,7.895576535579544
93,ALC,7.8797885855069625
94,TFS,7.859185500714389
95,HND,7.852327491988076
96,YVR,7.762436440520282
97,LGA,7.733159975016269
98,CAI,7.7172466567556075
99,BOG,7.683404328399092
100,LPA,7.674918105063101
101,CUN,7.603100846424436
102,SAW,7.521168462984839
103,BWI,7.482179388112667
104,KIX,7.401801764455458
105,BNE,7.372072211483898
106,URC,7.352413800905748
107,RUH,7.091105712326865
108,TSN,7.085203548176111
109,LYS,7.049838998100812
110,SLC,6.99937018286883
111,DLC,6.974226419417182
112,STR,6.850131270359118
113,NCE,6.836988446669045
114,TLV,6.81200683952736
115,TPA,6.777038840156497
116,CGN,6.725107147221063
117,SHE,6.6983517696997135
118,MEL,6.672174386811813
119,BHX,6.6344648587459085
120,MDW,6.6255661815220765
121,MRS,6.594946421817872
122,NBO,6.586145827902402
123,KWE,6.573184457227109
124,CMN,6.554975663278208
125,TNA,6.42915626792828
126,FOC,6.400701213668533
127,HRB,6.381727071587394
128,AYT,6.239440484040247
129,VCE,6.211902012221517
130,AKL,6.125097512598713
131,WAW,6.080830331190879
132,EDI,6.054118487861495
133,MSY,5.9080467803289185
134,KWI,5.902178168459195
135,SAN,5.865023425503779
136,PDX,5.830932421572035
137,CTA,5.748401990495567
138,MLA,5.747016501734855
139,ACE,5.73319243698096
140,HNL,5.7245798113491775
141,OTP,5.724474342154053
142,LIM,5.677669190041276
143,YYC,5.677259061290462
144,AMM,5.6222294932824
145,ADD,5.575483174597628
146,NNG,5.51873555158748
147,LTN,5.4566309672621625
148,SGN,5.437402929853233
149,PTY,5.415185119362579
150,TYN,5.413102285969063
151,HER,5.398569601462541
152,STL,5.318510432649165
153,SYX,5.25677704193881
154,FAO,5.253447681893917
155,SHJ,5.191083697093058
156,MCT,5.185441877428097
157,OPO,5.1667952038839795
158,KWL,5.161899630748019
159,RIX,5.153073101907469
160,HAK,5.13390089394307
161,IBZ,5.132154438099203
162,BRS,5.125441628273344
163,SVX,5.121175769622803
164,KBP,5.093882626240327
165,BUD,5.037138757666165
166,SJU,5.006190614725177
167,MAA,5.004876479446149
168,CMB,4.932404929156343
169,DPS,4.929411183314728
170,EMA,4.874763000034267
171,LCA,4.846440350467283
172,GLA,4.842187032320766
173,BSL,4.804675007562625
174,BLR,4.778312524390038
175,GIG,4.7557653555900945
176,BSB,4.726601671931184
177,CCU,4.714565301005571
178,FUE,4.712716693167648
179,NTE,4.618129403342997
180,TUN,4.611091236462822
181,ALG,4.5928926586853285
182,CCS,4.572371834794292
183,OVB,4.54151464232097
184,BLQ,4.5350277744686425
185,GDL,4.51620284849412
186,VKO,4.481233171194745
187,CRL,4.472356533009345
188,PER,4.451938138643166
189,SKG,4.4250214917044515
190,HAN,4.359631985463515
191,RHO,4.3457970137664805
192,BGY,4.321482686506793
193,BEG,4.3086909332471715
194,BAH,4.2968224766946586
195,SXF,4.290555459513243
196,HET,4.28358278447777
197,NGO,4.254326168713323
198,KHN,4.238138417962908
199,FUK,4.201176345244308
200,DMM,4.192952507622727
201,TLS,4.175424689325815
202,NGB,4.154531858263261
203,VLC,4.151910609886727
204,AUS,4.130613833958483
205,RDU,4.10867543235475
206,TAS,4.1039600372907294
207,CLE,4.091528403327336
208,BNA,4.0910530603877
209,LHW,4.085215375918903
210,LBA,4.076291320175504
211,NAY,4.072632658683773
212,NCL,4.070426410483457
213,SJW,4.024877490311055
214,CTS,4.023279880648824
215,NAP,3.987668931974228
216,PSA,3.970037089722024
217,PUS,3.9484492512588663
218,WNZ,3.9443636782976697
219,SCL,3.941971880235494
220,MFM,3.9323658256517775
221,HAJ,3.871587380936099
222,MCI,3.8143329255413145
223,HFE,3.793701331591779
224,CVG,3.77901292477466
225,SJO,3.754540961147596
226,EZE,3.7472616056100394
227,DAC,3.742624596416399
228,RAK,3.6604677257333513
229,ANC,3.6592211340248615
230,PIT,3.648499367378822
231,LUX,3.6354335263274784
232,YEG,3.6008098654364145
233,MTY,3.5819630399100713
234,HOU,3.5731227229451905
235,HYD,3.5693160068411713
236,EIN,3.544025748023919
237,PUJ,3.536036642449585
238,DKR,3.526840576763954
239,DMK,3.5072877032221386
240,BGO,3.4972232412869455
241,NAS,3.483501727245953
242,ADB,3.4597855970612006
243,AEP,3.4574997093442073
244,ALA,3.455728203466911
245,BOD,3.4483891280924293
246,IND,3.409295806550714
247,BEY,3.3856894756830282
248,SAT,3.3587340870015296
249,SOF,3.3453159252938
250,LCY,3.342892253342768
251,HKT,3.3223298101123557
252,CGQ,3.2951526860230773
253,KHH,3.270451465293426
254,GYD,3.270397361662944
255,KHI,3.2626604006326105
256,INC,3.2615165226740674
257,IKA,3.2190033635729787
258,RSW,3.2126624111864155
259,CMH,3.2122683063680095
260,SUB,3.1919958429722444
261,LOS,3.1748038548342055
262,THR,3.1727449459801265
263,MHD,3.162807398164416
264,PMO,3.162290345992138
265,BIO,3.1590762584390295
266,BVA,3.155830624219749
267,LJG,3.137807848724988
268,SVQ,3.13404414742698
269,OKA,3.1094510612900583
270,DBV,3.0942205464758414
271,MED,3.069478966398493
272,LPL,3.0276585880399427
273,ISB,3.0269079674587007
274,VNO,3.0080770173954106
275,CJU,3.0067601459658966
276,SJC,3.006434958194941
277,LIN,3.005338652623274
278,KRK,2.9981551608264496
279,VCP,2.9968763067952944
280,MKE,2.9723244256102426
281,ZUH,2.9509452345659546
282,ACC,2.944919687303393
283,OAK,2.892244502438337
284,DLM,2.881976176329679
285,SXM,2.8664498082120486
286,COK,2.854922086884599
287,SSA,2.8508577009453933
288,ESB,2.842826747279852
289,CNS,2.8313856107554183
290,LHE,2.8136930319879627
291,MSQ,2.799469447445827
292,UPG,2.770864873817529
293,YNT,2.7509839861831162
294,POM,2.750579734076497
295,DYU,2.7256855414105003
296,GOT,2.7192330761690306
297,CNF,2.716027834593475
298,CFU,2.7086179251587494
299,MEM,2.7053555877874675
300,ABJ,2.6921385925499086
301,YHZ,2.6895557800120535
302,SMF,2.667197098880977
303,TSE,2.664152955631666
304,CIA,2.662204508607896
305,SVG,2.6520788821937424
306,FLR,2.637988049117704
307,GDN,2.6319801849628783
308,BKI,2.6300744612170592
309,BRE,2.624838462632681
310,FNC,2.623335078495506
311,SAL,2.6167981094508717
312,OLB,2.610497329279567
313,ADL,2.6098275454191846
314,GRO,2.6093962054909237
315,BRI,2.5910159619632744
316,BDL,2.5744106855790614
317,SFB,2.5427477108417342
318,RGN,2.5203145520585237
319,HHN,2.4996784320809207
320,SPU,2.4818486380311056
321,BLL,2.464462998017905
322,SJD,2.4578195835637695
323,DLA,2.4226201404519268
324,SDQ,2.4183172491523646
325,XNN,2.415209214096213
326,CEB,2.41261641759242
327,CHQ,2.402125941493297
328,KEF,2.3921282416983627
329,KJA,2.3873098290460826
330,NUE,2.3848919309559546
331,KGS,2.384554557374889
332,TIP,2.3806330595072245
333,LAD,2.3797161503107542
334,CNX,2.3698348387054593
335,CGH,2.3551670505751425
336,KRR,2.3368392248742573
337,EVN,2.32840601790142
338,DWC,2.3047850961023597
339,AUA,2.3047096332919312
340,WUX,2.2963989074869717
341,KTM,2.29280393357277
342,YOW,2.284943093283784
343,DRW,2.2608146100222384
344,BET,2.2464762007285315
345,JAX,2.244069763690064
346,FRU,2.240492035461711
347,CAG,2.2391570660048776
348,NBE,2.226987048324188
349,PVR,2.22478735533276
350,MBJ,2.219306926931811
351,YWG,2.1925316810825364
352,PBI,2.185873920837106
353,SNA,2.1833671516873356
354,ZAG,2.180032721102197
355,CWB,2.17436858742722
356,TRD,2.1583585364593363
357,HAV,2.1573154755517687
358,JJN,2.15699958610953
359,CHC,2.149268289720513
360,TRN,2.1482708718060985
361,PFO,2.1440499809928415
362,ITM,2.1254430076372426
363,TIJ,2.1241109934616893
364,PPT,2.106902104100478
365,OGG,2.10633964265693
366,IKT,2.1051132775303394
367,POA,2.100460151625757
368,SDF,2.098639995735721
369,MRU,2.0972950167225064
370,ABZ,2.083221555918968
371,PEN,2.0826912741801324
372,CPT,2.0782514393610882
373,MLE,2.0725599233433334
374,NAN,2.066992610660815
375,LIL,2.0542091609640374
376,ABQ,2.0533214341818744
377,TRV,2.0381884779311417
378,KRT,2.0356860261188374
379,TSF,2.029278704862466
380,NRN,2.026802106018974
381,OKC,2.0214085779180846
382,FAI,2.007253516746813
383,TSA,1.9978639477426638
384,LEJ,1.996098914908136
385,SYZ,1.9952248667406398
386,AJA,1.9935372820648993
387,GUA,1.9888281268283345
388,COO,1.9841810511726845
389,UIO,1.981430497495292
390,HRG,1.9684890875038772
391,HBE,1.9667923147818143
392,RYG,1.9642244549308068
393,REP,1.9582403008540488
394,TLL,1.9530707809418983
395,JER,1.9504804647943828
396,SAH,1.9271088383579127
397,YKS,1.9166602464636566
398,SSH,1.9137611648485033
399,TRF,1.912151415354021
400,WLG,1.9011228792241839
401,VRN,1.9005893880033728
402,GMP,1.8935371723599808
403,KHV,1.8918781199215347
404,KGL,1.8890296112069032
405,SWA,1.8796142999919314
406,ORF,1.878896277050033
407,RIC,1.8714294273512024
408,CZX,1.8430117382669102
409,MAH,1.841074392844074
410,BIA,1.8279019836270207
411,DJE,1.8211821256708594
412,MYR,1.8188199820369986
413,SXB,1.8089104038183066
414,TBS,1.8052509867787245
415,DAL,1.8041441353681535
416,POS,1.7960711227894113
417,GYE,1.7945421929264642
418,TIA,1.7936685336625622
419,ORK,1.7887147045695224
420,LUN,1.777637660668689
421,REC,1.7630308067793434
422,BUF,1.7586850264648208
423,BFS,1.7581328624552321
424,GUM,1.7575850513787032
425,KIV,1.7563685419460284
426,RTM,1.7548911099270195
427,WRO,1.741661707524859
428,DTM,1.7416522973310338
429,ORN,1.741408844081153
430,SZG,1.741155475467758
431,BHM,1.7402160492362069
432,OMA,1.7394894709420308
