,Airport,Ranking
0,ATL,43.25664199714015
1,ORD,26.66355934886579
2,PEK,26.099961053167405
3,CDG,25.383303685698824
4,LHR,25.240584281571746
5,FRA,24.42589180691686
6,LAX,23.894675874290378
7,DFW,22.771616170284602
8,AMS,22.40622846448316
9,JFK,22.343040012277744
10,PVG,20.094809681559642
11,SIN,19.767027880773924
12,BCN,19.14174756609569
13,IST,18.522961147177348
14,DEN,18.304222729613915
15,MUC,17.95862416734629
16,ICN,17.922054144967863
17,DXB,17.73246427291941
18,MIA,17.681019636752872
19,LGW,17.390146262391927
20,HKG,17.256500154082847
21,CAN,16.577408623174357
22,DME,16.44081382944417
23,FCO,16.40628097195933
24,MAD,16.26503074986923
25,BKK,16.034599455422164
26,YYZ,15.720486239696163
27,BRU,15.595151716106914
28,CTU,15.499080325795315
29,MAN,15.342148313050307
30,VIE,15.187399414393717
31,CLT,14.750442301419982
32,DUS,14.169530819804399
33,PHL,14.096497352796861
34,NRT,14.034385821545186
35,PMI,13.583432597030585
36,XIY,13.373407988778961
37,KMG,13.082030522861741
38,CKG,12.957967598400751
39,TPE,12.846280363877826
40,DEL,12.782536616301279
41,EWR,12.721672598827473
42,KUL,12.644248776259138
43,LAS,12.56904610730035
44,PHX,12.498958047937284
45,IAH,12.407372584200852
46,ZRH,12.395148773283521
47,SFO,12.224206765204976
48,HGH,12.035158020936214
49,MEX,11.80694275703505
50,MCO,11.64298508266235
51,AUH,11.529620987543925
52,CPH,11.39903161618056
53,SZX,11.298906167636362
54,XMN,11.143711453371512
55,DTW,11.060425054984226
56,ARN,11.04400620608126
57,LIS,10.976805805467416
58,BOM,10.914298733700788
59,MSP,10.67418725573794
60,DUB,10.541189308296376
61,BOS,10.500891121454615
62,TXL,10.460497722202078
63,ATH,10.439522251560465
64,SYD,10.322980106909963
65,ORY,10.32233584625667
66,SVO,10.21070189391472
67,AGP,10.176808121866971
68,SEA,10.050682321936506
69,SHA,9.920301286798901
70,MXP,9.71716054003983
71,DOH,9.629666189818797
72,IAD,9.620619475977966
73,GRU,9.560842355767635
74,DCA,9.488479096518903
75,MNL,9.427524444375909
76,FLL,9.375765552576594
77,LED,9.363302532631016
78,YUL,9.36195538593563
79,OSL,9.20390713425054
80,JED,9.190235683705849
81,CSX,9.10210214021927
82,WUH,9.017987278411063
83,PRG,8.992685400863232
84,TAO,8.969324443479106
85,STN,8.929134532934981
86,CGK,8.768025014637672
87,CGO,8.320409210451075
88,GVA,8.241751904693137
89,JNB,8.14109117411573
90,HEL,8.060432437239054
91,HAM,7.9927378072311095
92,NKG,7.918161402003007
93,ALC,7.87867957151626
94,HND,7.8703055204569825
95,TFS,7.858098784904591
96,YVR,7.777530282095297
97,LGA,7.748430415695079
98,CAI,7.701611256572796
99,BOG,7.69749451368919
100,LPA,7.642834502386452
101,CUN,7.615308338195389
102,SAW,7.521047424864996
103,BWI,7.496578697635608
104,KIX,7.419164410607723
105,BNE,7.392020414051704
106,URC,7.3718478415098145
107,TSN,7.10595810426336
108,RUH,7.092178441001295
109,LYS,7.039109513195536
110,SLC,7.01363897995946
111,DLC,6.994158010033046
112,STR,6.849456072746242
113,NCE,6.832619133767838
114,TLV,6.812002788121284
115,TPA,6.789795592295716
116,CGN,6.724108741396648
117,SHE,6.71730488282332
118,MEL,6.689095548320822
119,MDW,6.639238394996481
120,BHX,6.633049209538802
121,KWE,6.5925138268090056
122,MRS,6.5876240245536835
123,NBO,6.553091931331555
124,TNA,6.4478210382889385
125,FOC,6.419068007893492
126,CMN,6.410756697666155
127,HRB,6.40000206005551
128,AYT,6.239627397399697
129,VCE,6.2094725996049345
130,AKL,6.141410358398519
131,WAW,6.080775090464566
132,EDI,6.052833429726176
133,MSY,5.918895226444568
134,KWI,5.903606407408805
135,SAN,5.876206243628346
136,PDX,5.842960059889516
137,CTA,5.746199136451865
138,MLA,5.744433436656856
139,HNL,5.737871987154772
140,ACE,5.7315247807720615
141,OTP,5.7225258009879365
142,LIM,5.6875699027840385
143,YYC,5.686985743922619
144,AMM,5.618540299503103
145,ADD,5.538188509538285
146,NNG,5.534616481508861
147,LTN,5.456293357323495
148,SGN,5.449003319006151
149,TYN,5.428991807784557
150,PTY,5.424490908261936
151,HER,5.397834945755226
152,STL,5.329235649547783
153,SYX,5.2720751473851815
154,FAO,5.252314428965724
155,SHJ,5.195072899112721
156,MCT,5.1881861249672445
157,KWL,5.176853838550225
158,OPO,5.162786369341329
159,RIX,5.153300229538569
160,HAK,5.1487232012457484
161,IBZ,5.130263288557436
162,SVX,5.127557426260787
163,BRS,5.124239799652794
164,KBP,5.094238330573067
165,BUD,5.03640895448388
166,SJU,5.01492257030222
167,MAA,5.01198386771842
168,DPS,4.942404147605266
169,CMB,4.938285585074452
170,EMA,4.87386382118807
171,LCA,4.846250159590466
172,GLA,4.842639648943709
173,BSL,4.801764012381871
174,BLR,4.784574003721915
175,GIG,4.75955049480038
176,BSB,4.735449407094677
177,CCU,4.723345884919708
178,FUE,4.711733736264681
179,NTE,4.613312257732556
180,TUN,4.585204634760509
181,CCS,4.5791863131440085
182,ALG,4.568210939637834
183,OVB,4.548715626481622
184,BLQ,4.530795200479491
185,GDL,4.526289038967585
186,VKO,4.484949479395498
187,CRL,4.47149324009199
188,PER,4.462355678472553
189,SKG,4.4260224146394895
190,HAN,4.369106337394979
191,RHO,4.346203070500331
192,BGY,4.320419956242174
193,BEG,4.308166006739752
194,BAH,4.29827080897539
195,HET,4.296105081145352
196,SXF,4.289350360676661
197,NGO,4.264860267268475
198,KHN,4.250464070888669
199,FUK,4.211975868875532
200,DMM,4.19500148112253
201,TLS,4.167418440378489
202,NGB,4.166434593725955
203,VLC,4.146957750963592
204,AUS,4.138156109180342
205,RDU,4.115749159912713
206,TAS,4.108923175639231
207,CLE,4.099489317752956
208,BNA,4.099009226100856
209,LHW,4.0972486750284105
210,NAY,4.084804770452139
211,LBA,4.075969435688833
212,NCL,4.0689356883743
213,SJW,4.03679524689361
214,CTS,4.033813879324335
215,NAP,3.9854353565501786
216,PSA,3.969606369134507
217,PUS,3.958796659342632
218,WNZ,3.955819621458686
219,SCL,3.94918470921093
220,MFM,3.943171867875485
221,HAJ,3.8697129293617496
222,MCI,3.8221257002785496
223,HFE,3.8047216670471227
224,CVG,3.7855828236783635
225,SJO,3.762044021568244
226,EZE,3.7522328747155083
227,DAC,3.7478409850539385
228,ANC,3.668281537074205
229,RAK,3.65612774369886
230,PIT,3.654784336209712
231,LUX,3.633758127737114
232,YEG,3.6079594763616543
233,MTY,3.589901594798283
234,HOU,3.580573012736483
235,HYD,3.574253326748676
236,EIN,3.5435313877582773
237,PUJ,3.539612396170371
238,DMK,3.5165913459634304
239,BGO,3.4976924404118144
240,NAS,3.490158895191056
241,AEP,3.465947267499666
242,ALA,3.460088466831216
243,ADB,3.459171948761155
244,BOD,3.4444245826804236
245,IND,3.4158497853649585
246,BEY,3.3743780009792443
247,SAT,3.3655847705043143
248,SOF,3.344218400214311
249,LCY,3.342874793038415
250,HKT,3.3298835050539513
251,CGQ,3.3045794132919437
252,KHH,3.2793384110178057
253,GYD,3.272092238634122
254,INC,3.270900359300088
255,KHI,3.2656451410832967
256,DKR,3.227798837686771
257,IKA,3.2207056818558004
258,RSW,3.218876559963451
259,CMH,3.218445518215856
260,SUB,3.2005573697286294
261,THR,3.1780167683653726
262,MHD,3.1668684829581246
263,PMO,3.1598796950548205
264,BVA,3.1553902763646104
265,BIO,3.1553357619616764
266,LJG,3.1469702884503046
267,SVQ,3.130526440836756
268,OKA,3.117576956705579
269,DBV,3.0935313999775955
270,MED,3.070124311712831
271,LOS,3.037802133596058
272,ISB,3.028700414522504
273,LPL,3.0273011715065676
274,CJU,3.0151763938544134
275,SJC,3.012896496411795
276,VNO,3.0069995504273495
277,VCP,3.002797427298105
278,LIN,3.002714061113678
279,KRK,2.998448220509533
280,MKE,2.978331568800148
281,ZUH,2.9596105950467226
282,OAK,2.898523894269053
283,DLM,2.8821742000148527
284,SXM,2.8702096212588395
285,COK,2.8582727237481933
286,SSA,2.855780317377662
287,ESB,2.843746685341077
288,CNS,2.839191883705705
289,LHE,2.8151817136479176
290,MSQ,2.80015917752184
291,UPG,2.77895306508851
292,POM,2.7588502523156127
293,YNT,2.758747754975273
294,DYU,2.7291640966680686
295,CNF,2.7212147331260037
296,GOT,2.7173496154593533
297,MEM,2.7108862793412523
298,CFU,2.7085531803924687
299,YHZ,2.69376086405907
300,SMF,2.67274644680548
301,TSE,2.6672040774093757
302,CIA,2.6623241157626896
303,SVG,2.6520494536595574
304,ACC,2.6421130369224186
305,BKI,2.636848342229758
306,FLR,2.636608150692642
307,GDN,2.6321580950866363
308,BRE,2.6242893341642706
309,FNC,2.622071730367389
310,SAL,2.6214759446428078
311,ADL,2.6165557767948804
312,OLB,2.610172445384798
313,GRO,2.6098417026180214
314,BRI,2.590364273511719
315,BDL,2.5793338540328525
316,SFB,2.5481278979129347
317,RGN,2.5265169297686785
318,HHN,2.499621623000581
319,ABJ,2.489448786400846
320,SPU,2.4816926002451214
321,BLL,2.4640769568500147
322,SJD,2.462997678174105
323,XNN,2.422300863751156
324,SDQ,2.421865913378214
325,CEB,2.418845956135106
326,CHQ,2.4020941360489347
327,KEF,2.3921183114858446
328,KJA,2.391238354736353
329,KGS,2.384496099519835
330,NUE,2.3842987636808624
331,DLA,2.379149946058904
332,CNX,2.375587958004852
333,TIP,2.3733682354947705
334,LAD,2.3709216107699658
335,CGH,2.360157069028002
336,KRR,2.3393206449686583
337,EVN,2.3297038538581907
338,AUA,2.308489420182571
339,DWC,2.3068891540843506
340,WUX,2.3029271301967014
341,KTM,2.296704938177816
342,YOW,2.288704200056264
343,DRW,2.267001964751345
344,BET,2.2517357934277618
345,JAX,2.2482634439750555
346,FRU,2.243619641972493
347,CAG,2.239014224206706
348,PVR,2.2293420595868008
349,NBE,2.2268050945448343
350,MBJ,2.222677658776894
351,YWG,2.197403107918756
352,PBI,2.1901739799118913
353,SNA,2.1879733857845873
354,CWB,2.178662761047256
355,ZAG,2.1785635003731785
356,JJN,2.1632068223802636
357,TRD,2.1596004554751884
358,HAV,2.1593169681978757
359,CHC,2.1552327754007345
360,TRN,2.145935370645512
361,PFO,2.143901629896367
362,ITM,2.1311562130023467
363,TIJ,2.1290243988297264
364,PPT,2.1128199095722784
365,OGG,2.1110752362028267
366,IKT,2.1092841285553376
367,POA,2.104487946302995
368,SDF,2.10267523455364
369,MRU,2.0963167166560153
