,Airport,Ranking
0,ATL,43.49243385003065
1,ORD,26.90553210773512
2,PEK,26.062705037812872
3,CDG,25.753339964537414
4,LHR,25.394048474170862
5,FRA,24.833772542829344
6,LAX,23.85422765714756
7,DFW,22.791848359782676
8,AMS,22.707942901896182
9,JFK,22.41819656058499
10,PVG,19.94145290149079
11,SIN,19.595005884296118
12,BCN,19.361663904138894
13,IST,18.91041406365529
14,DEN,18.30288114335583
15,MUC,18.27138049808573
16,DXB,17.97639362385829
17,ICN,17.816160747126794
18,MIA,17.673959340057213
19,LGW,17.582411099249395
20,HKG,17.13209701533201
21,DME,16.835109320382255
22,FCO,16.573732079243147
23,CAN,16.427184088498446
24,MAD,16.39857708339099
25,BKK,15.973979634854413
26,BRU,15.761727628548343
27,YYZ,15.752855727005983
28,MAN,15.51679804055176
29,VIE,15.380009430419513
30,CTU,15.343414889386544
31,CLT,14.778212237059062
32,DUS,14.340153449904193
33,PHL,14.140529946604351
34,NRT,13.96164391403999
35,PMI,13.752938446355188
36,XIY,13.231117412819183
37,KMG,12.94121660339537
38,CKG,12.81966609299459
39,DEL,12.807667767305134
40,EWR,12.764863281744342
41,TPE,12.730462032054586
42,LAS,12.574381659746471
43,KUL,12.555683124689232
44,ZRH,12.522973912489624
45,PHX,12.491343332250388
46,IAH,12.424917491258224
47,SFO,12.223180128272336
48,HGH,11.910980160670762
49,MEX,11.796533239236904
50,MCO,11.662653950380294
51,AUH,11.587163268144986
52,CPH,11.522214829961593
53,SZX,11.176145650291232
54,ARN,11.158248535149378
55,DTW,11.085199976238712
56,LIS,11.083515690380516
57,XMN,11.027379845919826
58,BOM,10.943570619951926
59,MSP,10.686212444373938
60,DUB,10.656514835874296
61,TXL,10.59058404931779
62,ATH,10.573593896521306
63,BOS,10.530058390775338
64,ORY,10.43011204740354
65,SVO,10.333169581376636
66,AGP,10.302209502517075
67,SYD,10.130730210282232
68,SEA,10.020934765316001
69,SHA,9.81421451815415
70,MXP,9.814001462349477
71,DOH,9.686105470986211
72,IAD,9.655749140995852
73,LED,9.520168481542141
74,DCA,9.505397727248909
75,GRU,9.454256410648624
76,FLL,9.384516314329405
77,YUL,9.37564276171196
78,MNL,9.337890527093077
79,OSL,9.305302449218523
80,JED,9.252865372795426
81,PRG,9.109407342390746
82,STN,9.041361637899815
83,CSX,9.003631433888483
84,WUH,8.923609937680467
85,TAO,8.878883261426413
86,CGK,8.645769979850996
87,GVA,8.336722383106965
88,CGO,8.232501822243007
89,JNB,8.171076320657928
90,HEL,8.144373155339819
91,HAM,8.094461355418769
92,ALC,7.975635079472329
93,TFS,7.9575490597262855
94,NKG,7.836084361926005
95,HND,7.809740937864589
96,CAI,7.774519048501413
97,LGA,7.763907890173478
98,YVR,7.762927992184754
99,LPA,7.735326006469947
100,BOG,7.659943991087676
101,SAW,7.637491756252805
102,CUN,7.626277296334079
103,BWI,7.509337841019065
104,KIX,7.361011271540437
105,URC,7.333757971162236
106,BNE,7.21795720704833
107,RUH,7.140958833070358
108,LYS,7.124916875132251
109,TSN,7.029023774426625
110,SLC,7.012118071785679
111,STR,6.937249145083965
112,DLC,6.92364354819652
113,NCE,6.9160612570122595
114,TLV,6.892386695166149
115,CGN,6.813351739549106
