,Airport,Ranking
0,ATL,44.59899342689821
1,ORD,28.011112822027712
2,PEK,27.332863385617134
3,CDG,27.10244571477302
4,FRA,26.027316077730784
5,LHR,25.30116038595296
6,AMS,24.0394042103814
7,LAX,23.735155441657053
8,DFW,22.703119825904405
9,JFK,22.33654981859707
10,IST,20.324596959128648
11,PVG,19.91862305956706
12,SIN,19.544689060420286
13,MUC,19.287204269081947
14,BCN,19.24118310358657
15,DXB,18.973992039383162
16,DEN,18.182461675967794
17,DME,18.035969630931252
18,ICN,17.781304136141426
19,MIA,17.570050845382145
20,LGW,17.4576420162023
21,HKG,17.10617114379469
22,FCO,16.51461357567792
23,CAN,16.40308394340146
24,MAD,16.329152658307866
25,BKK,15.939994376653578
26,YYZ,15.695586763603279
27,BRU,15.67033381139828
28,MAN,15.437177491244686
29,VIE,15.352962338897482
30,CTU,15.310494009180138
31,CLT,14.715359335235114
32,DUS,14.296840846661112
33,PHL,14.085097052319545
34,NRT,13.940771573580996
35,PMI,13.643464054906557
36,XIY,13.201640696070832
37,KMG,12.910062484158287
38,CKG,12.790039878106581
39,DEL,12.746514779801688
40,EWR,12.714580155152165
41,TPE,12.694673963024435
42,KUL,12.527405364944364
43,LAS,12.497990919318887
44,ZRH,12.486736954942916
45,PHX,12.404228996678038
46,IAH,12.400383172937579
47,SFO,12.189699179036428
48,HGH,11.890553521847862
49,MEX,11.717757260460269
50,MCO,11.597611173766898
51,AUH,11.58332580631353
52,CPH,11.486047389173688
53,SZX,11.15257763020869
54,ARN,11.1091414550485
55,DTW,11.069741775770991
56,LIS,11.04725469893443
57,XMN,11.008395236104956
58,BOM,10.891417155741067
59,MSP,10.648152845987306
60,DUB,10.598895461563789
61,TXL,10.554590804308049
62,ATH,10.533273270958466
63,BOS,10.495715620238279
64,ORY,10.326087469982893
65,SVO,10.318644250460064
66,AGP,10.235613144980965
67,SYD,10.09025909083069
68,SEA,9.992013700434947
69,SHA,9.798971277969034
70,MXP,9.770234563125587
71,DOH,9.687308024887257
72,IAD,9.651283610474362
73,LED,9.542849164282194
74,DCA,9.461861134837555
75,GRU,9.411687664135854
76,YUL,9.34513410518347
77,FLL,9.324637428375903
78,MNL,9.298094113669055
79,OSL,9.253323384206146
80,JED,9.233962186623836
81,PRG,9.080648706730164
82,CSX,8.984332543769563
83,STN,8.94893547674688
84,WUH,8.906816690441387
85,TAO,8.864630720794084
86,CGK,8.608661651345434
87,GVA,8.308567572374683
88,CGO,8.211346737886627
89,JNB,8.137663897193013
90,HEL,8.134039279870478
91,HAM,8.058542316719516
92,ALC,7.91736099454533
93,TFS,7.899612261489687
94,NKG,7.822562234362495
95,HND,7.79667177513177
96,CAI,7.773381557208356
97,LGA,7.735906736798243
98,YVR,7.731300579311537
99,LPA,7.67447317397522
100,SAW,7.6504729742310476
101,BOG,7.592256149579057
102,CUN,7.584824841271468
103,BWI,7.473921973262402
104,KIX,7.353644501726808
105,URC,7.319116469454855
106,BNE,7.192415684293436
107,RUH,7.127481599253042
108,LYS,7.0929986411448445
109,TSN,7.007499817050628
110,SLC,6.975242539235412
111,DLC,6.9147345811626
112,STR,6.904234726677674
113,TLV,6.889088779854725
114,NCE,6.880965674180947
115,CGN,6.773707145043558
116,TPA,6.771859869066941
117,BHX,6.675438465086728
118,SHE,6.647079237562367
119,MRS,6.6291619108709705
120,MDW,6.604922386183592
121,NBO,6.5719549788645475
122,MEL,6.546169972611008
123,KWE,6.505342960499248
124,CMN,6.460673783902765
125,TNA,6.362319537327761
126,HRB,6.337773079414547
127,FOC,6.337462078909018
128,AYT,6.313075544792959
129,VCE,6.258743552031962
130,WAW,6.149108670681856
131,EDI,6.085985315549613
132,AKL,5.98736345494873
133,KWI,5.947583348057327
134,MSY,5.92042582339644
135,SAN,5.850743830959395
136,PDX,5.809901887936854
137,CTA,5.800693130271963
138,MLA,5.7981751624560705
139,OTP,5.779469401380737
140,ACE,5.751212975502164
141,AMM,5.699438978736835
142,HNL,5.668556777445113
143,YYC,5.66456642544574
144,LIM,5.606037471468753
145,ADD,5.5566587795402524
146,LTN,5.478211852222529
147,NNG,5.463281363665452
148,HER,5.460931985721843
149,SGN,5.412827274138339
150,PTY,5.377143968322828
151,TYN,5.361220027476545
152,STL,5.3155911318453075
153,FAO,5.281014085783905
154,SVX,5.228978825847361
155,SHJ,5.217518200247984
156,RIX,5.214020558997388
157,MCT,5.213491167326955
158,SYX,5.211253413170179
159,KBP,5.191699966952577
160,OPO,5.184141785608888
161,IBZ,5.159416486087193
162,BRS,5.15075891878008
163,KWL,5.113890311382624
164,HAK,5.0869622886977535
165,BUD,5.0741500596763185
166,SJU,4.995328491983817
167,MAA,4.98819506455218
168,CMB,4.9376560486985115
169,LCA,4.901221604871477
170,EMA,4.8855662362085805
171,GLA,4.861156574081052
172,BSL,4.854483458994642
173,DPS,4.8395860898047465
174,BLR,4.765837951061898
175,FUE,4.7359264492060476
176,GIG,4.686086663293308
177,CCU,4.67057189935938
178,TUN,4.639716941772613
179,NTE,4.638553192022489
180,OVB,4.631142141164009
181,BSB,4.612799447594714
182,ALG,4.608966581224983
183,BLQ,4.569071912115492
184,VKO,4.5380922452565615
185,CCS,4.5270629465065815
186,GDL,4.488204153570968
187,SKG,4.486990049921376
188,CRL,4.478016697920787
189,RHO,4.395142405543086
190,PER,4.369384644198382
191,BEG,4.366619992046553
192,HAN,4.340192243294957
193,BAH,4.327009431662904
194,BGY,4.325784991856092
195,SXF,4.306044175034617
196,HET,4.257491321429477
197,DMM,4.2283476032262675
198,NGO,4.223978726370485
199,TLS,4.213352566977924
200,KHN,4.199612696028084
201,VLC,4.183694682188074
202,TAS,4.182371154515103
203,FUK,4.155631515438329
204,AUS,4.125547037012455
205,NGB,4.119415713597559
206,RDU,4.109153149246029
207,LBA,4.09536814087876
208,NCL,4.095188346071451
209,BNA,4.089630192376654
210,CLE,4.089162091327603
211,LHW,4.04937308971522
212,NAY,4.0374721006745276
213,NAP,4.028311187539661
214,PSA,3.9805975805566773
215,CTS,3.978999716621755
216,SJW,3.978594995365738
217,PUS,3.915796789923322
218,WNZ,3.9085166215928173
219,HAJ,3.9064702568371485
220,MFM,3.89319313007344
221,SCL,3.879473471060286
222,MCI,3.81349045264832
223,CVG,3.7893508048193185
224,HFE,3.7571819127156614
225,DAC,3.738052526961798
226,SJO,3.7169955059142055
227,EZE,3.7050298701509243
228,RAK,3.668661091693196
229,LUX,3.666375114723986
230,PIT,3.654451355978808
231,HOU,3.566553724888718
232,YEG,3.5638337695557016
233,MTY,3.560907988653581
234,PUJ,3.5590970227503043
235,HYD,3.5573544922670357
236,EIN,3.5505676974835696
237,ADB,3.532895156099628
238,ALA,3.5161111083370074
239,BGO,3.5108269454776777
240,BOD,3.4670304260688214
241,NAS,3.466735988032626
242,DMK,3.457897357906023
243,ANC,3.4554526124284197
244,BEY,3.4155330643750617
245,IND,3.411971278586219
246,SOF,3.378253166640187
247,LCY,3.366899605221395
248,SAT,3.3563176458809774
249,AEP,3.3485032792119642
250,GYD,3.3438142506396034
251,HKT,3.3026762209036438
252,IKA,3.2781938626319613
253,KHI,3.2770040268915808
254,CGQ,3.271268523865479
255,INC,3.245155282418654
256,KHH,3.2372644897025515
257,DKR,3.2302196885415393
258,RSW,3.221521073807723
259,CMH,3.214417607768591
260,PMO,3.193898541667235
261,BIO,3.1823341300649375
262,MHD,3.172780562866208
263,THR,3.1664096967209674
264,BVA,3.1589224249199908
265,SVQ,3.140596347822849
