,Airport,Ranking
0,ATL,43.2559049105373
1,ORD,26.663187252181473
2,PEK,26.096912957372673
3,CDG,25.38562974460389
4,LHR,25.241927522447035
5,FRA,24.42779600911105
6,LAX,23.89374658099921
7,DFW,22.77109612565998
8,AMS,22.408180796031836
9,JFK,22.343514374175975
10,PVG,20.092309820305793
11,SIN,19.76538614613847
12,BCN,19.14398513446723
13,IST,18.524889130393557
14,DEN,18.303601851901067
15,MUC,17.96040277051042
16,ICN,17.920363653815198
17,DXB,17.73377721112407
18,MIA,17.68103452330096
19,LGW,17.39213453732482
20,HKG,17.25475220388618
21,CAN,16.57504135884484
22,DME,16.442187233481828
23,FCO,16.40785178859226
24,MAD,16.266501971735206
25,BKK,16.033699205123355
26,YYZ,15.720614666186544
27,BRU,15.597311495643996
28,CTU,15.496528955145918
29,MAN,15.343809207764556
30,VIE,15.188940141212813
31,CLT,14.7501816186671
32,DUS,14.171000079612067
33,PHL,14.096484503422126
34,NRT,14.033271965874274
35,PMI,13.585218835147826
36,XIY,13.371053115510554
37,KMG,13.079806342430572
38,CKG,12.955729252485353
39,TPE,12.844595807890816
40,DEL,12.783102263481984
41,EWR,12.721783604190541
42,KUL,12.643376599418023
43,LAS,12.568720656228175
44,PHX,12.498530479095228
45,IAH,12.407160879397061
46,ZRH,12.396331595557525
47,SFO,12.223827742656757
48,HGH,12.033131648753942
49,MEX,11.806663597425478
50,MCO,11.642852716885582
51,AUH,11.530292058877786
52,CPH,11.400098101465433
53,SZX,11.296938414498367
54,XMN,11.14185311637043
55,DTW,11.060198164969247
56,ARN,11.032134758083227
57,LIS,10.97803894578462
58,BOM,10.914943696210582
59,MSP,10.673905071604155
60,DUB,10.542303276948003
61,BOS,10.50088913144342
62,TXL,10.461515337835307
63,ATH,10.440733062563242
64,ORY,10.32373529398389
65,SYD,10.321538145198556
66,SVO,10.211395698325715
67,AGP,10.178066953893074
68,SEA,10.050255392174071
69,SHA,9.918551439894628
70,MXP,9.718141143348328
71,DOH,9.630226800134741
72,IAD,9.620721635518809
73,GRU,9.56086091467758
74,DCA,9.488256224621951
75,MNL,9.426547811422221
76,FLL,9.375570802202231
77,LED,9.364090058747427
78,YUL,9.362104766000591
79,OSL,9.204806937242083
80,JED,9.191100269906025
81,CSX,9.100512365462915
82,WUH,9.016455496862307
83,PRG,8.993571329043572
84,TAO,8.967840372081938
85,STN,8.930405062853628
86,CGK,8.767007240791267
87,CGO,8.318963936339989
88,GVA,8.242555261213974
89,JNB,8.14300142875913
90,HEL,8.060813331366122
91,HAM,7.993658647221467
92,NKG,7.916834789051501
93,ALC,7.879607596508831
94,HND,7.869437083021019
95,TFS,7.859166446954402
96,YVR,7.777206585276925
97,LGA,7.748269477600139
98,CAI,7.702523727909797
99,BOG,7.697407740148576
100,LPA,7.643888747014131
101,CUN,7.615272091002189
102,SAW,7.52194377763947
103,BWI,7.496418982968544
104,KIX,7.418322028878543
105,BNE,7.390785502451753
106,URC,7.3708907142992
107,TSN,7.104715135204921
108,RUH,7.092787627411027
109,LYS,7.040081162576515
110,SLC,7.013391629143855
111,DLC,6.992993668491676
112,STR,6.850319490578617
113,NCE,6.833415124829478
114,TLV,6.812644083706239
115,TPA,6.789681423850366
116,CGN,6.724965264041038
117,SHE,6.716198110422366
118,MEL,6.688200180762787
119,MDW,6.639050693690378
120,BHX,6.633881442751173
121,KWE,6.591346963601404
122,MRS,6.588570728473358
123,NBO,6.554703967219269
124,TNA,6.4467178409962695
125,FOC,6.417991752591612
126,CMN,6.411798692344214
127,HRB,6.398963561359514
128,AYT,6.240421808060154
129,VCE,6.210160742953824
130,AKL,6.140465013315445
131,WAW,6.081393956950033
132,EDI,6.053542140117387
133,MSY,5.9187846096163605
134,KWI,5.904159310157878
135,SAN,5.8760438201163705
136,PDX,5.842746090302332
137,CTA,5.746882117904106
138,MLA,5.745139535485869
139,HNL,5.737384963038867
140,ACE,5.732314596987275
141,OTP,5.723238948190371
142,LIM,5.6874778860893365
143,YYC,5.6868712975061655
144,AMM,5.619111058015791
145,ADD,5.539231715901699
146,NNG,5.533680274587773
147,LTN,5.457040850237255
148,SGN,5.4484963699009965
149,TYN,5.42803300813501
150,PTY,5.424447072947793
151,HER,5.398521362058614
152,STL,5.32910201315892
153,SYX,5.2711628520255465
154,FAO,5.252988802627142
155,SHJ,5.19554242202507
156,MCT,5.188585220655197
157,KWL,5.175966917662502
