,Airport,Ranking
0,ATL,43.24676078115613
1,ORD,26.658289355353965
2,PEK,26.089614016815922
3,CDG,25.39797080090153
4,LHR,25.245563677403503
5,FRA,24.431245622964514
6,LAX,23.88837135372909
7,DFW,22.766066889351784
8,AMS,22.411549509957922
9,JFK,22.34322219342133
10,PVG,20.08620399645349
11,SIN,19.760521577120002
12,BCN,19.150069044470662
13,IST,18.52979076357169
14,DEN,18.298865719969733
15,MUC,17.962627520972887
16,ICN,17.915636193762403
17,DXB,17.736259058228203
18,MIA,17.678308776158833
19,LGW,17.39565317135594
20,HKG,17.250122466153258
21,CAN,16.569791992235512
22,DME,16.44147588452179
23,FCO,16.410828699465096
24,MAD,16.270507422879316
25,BKK,16.03100417770511
26,YYZ,15.71883499034218
27,BRU,15.609361660738392
28,CTU,15.490815081871554
29,MAN,15.3459265186492
30,VIE,15.190967510517048
31,CLT,14.746923810599393
32,DUS,14.172698629803932
33,PHL,14.094230899571185
34,NRT,14.029840406133166
35,PMI,13.587630551650442
36,XIY,13.365855164618281
37,KMG,13.074837430603122
38,CKG,12.950774337327594
39,TPE,12.840411101297871
40,DEL,12.782018782250073
41,EWR,12.72056312230733
42,KUL,12.640468722692727
43,LAS,12.56582919903178
44,PHX,12.495374588506401
45,IAH,12.404825004371395
46,ZRH,12.398075635540932
47,SFO,12.221312807555547
48,HGH,12.028606017729688
49,MEX,11.80397394374538
50,MCO,11.640446660329516
51,AUH,11.531159109942202
52,CPH,11.401624123760358
53,SZX,11.292580945099079
54,XMN,11.137690791048353
55,DTW,11.05784928622066
56,ARN,11.033419352750714
57,LIS,10.982544577576155
58,BOM,10.914604251323965
59,MSP,10.67143001844622
60,DUB,10.54363443297166
61,BOS,10.499516818734957
62,TXL,10.463120897181543
63,ATH,10.442228214388157
64,ORY,10.327786148155807
65,SYD,10.318230530812116
66,SVO,10.211735817652507
67,AGP,10.180209876689172
68,SEA,10.048066469141538
69,SHA,9.914701251303585
70,MXP,9.720142581148735
71,DOH,9.631049454526492
72,IAD,9.620776986477455
73,GRU,9.559665063262923
74,DCA,9.485966655818265
75,MNL,9.423785945267637
76,FLL,9.37346988616753
77,LED,9.363952279224101
78,YUL,9.361625180918386
79,OSL,9.205862190451949
80,JED,9.19283825499558
81,CSX,9.096993779958686
82,WUH,9.013061813198927
83,PRG,8.994936112398637
84,TAO,8.964487160446726
85,STN,8.931815218140299
86,CGK,8.764310351334299
87,CGO,8.315748953669313
88,GVA,8.24427512112117
89,JNB,8.150110603089779
90,HEL,8.061385796011692
91,HAM,7.995014386201529
92,NKG,7.913870072833279
93,ALC,7.880883261791355
94,HND,7.86717752654336
95,TFS,7.8604734600045045
96,YVR,7.7754181964581015
97,LGA,7.746470266878372
98,CAI,7.705560287772152
99,BOG,7.695766380576663
100,LPA,7.6482728523169765
101,CUN,7.61394487727842
102,SAW,7.523008443254669
103,BWI,7.494699442184267
104,KIX,7.416193832645852
105,BNE,7.38821122635956
106,URC,7.368405981567342
107,TSN,7.1019620333058695
108,RUH,7.093562605693279
109,LYS,7.042560088351759
110,SLC,7.011622672119349
111,DLC,6.990368537870391
112,STR,6.851388297668479
113,NCE,6.8349964668723615
114,TLV,6.813494461806862
115,TPA,6.788178298989059
116,CGN,6.726142935810486
117,SHE,6.713708691855609
118,MEL,6.686061419808848
119,MDW,6.637386834598759
120,BHX,6.635036623745421
121,MRS,6.590668459018887
122,KWE,6.588783750156437
123,NBO,6.5608665790327985
124,TNA,6.444255108470738
125,CMN,6.4229820921496925
126,FOC,6.4155782610535885
127,HRB,6.396540128617505
128,AYT,6.241283903030439
129,VCE,6.211324345863099
130,AKL,6.138329367830501
131,WAW,6.082196719658492
132,EDI,6.054545541946821
133,MSY,5.9175400268274005
134,KWI,5.904755755861952
135,SAN,5.874710489453351
136,PDX,5.841284913131207
137,CTA,5.747983385375816
138,MLA,5.746324420410852
139,HNL,5.735722641986539
140,ACE,5.733374133075371
141,OTP,5.72428892539411
142,LIM,5.68636793381579
143,YYC,5.685774163523433
144,AMM,5.6203792405907675
145,ADD,5.54576160512224
146,NNG,5.531589960288466
147,LTN,5.457906167562841
148,SGN,5.447105704077494
149,TYN,5.425920478722295
150,PTY,5.423415356362564
151,HER,5.399367794324928
152,STL,5.327813783700914
153,SYX,5.269141400052003
154,FAO,5.25389747186945
155,SHJ,5.195633939617443
156,MCT,5.188844431067938
157,KWL,5.173994711417609
158,OPO,5.164699262862585
159,RIX,5.1544175641709735
160,HAK,5.145892646556356
161,IBZ,5.1319445108993405
162,SVX,5.127454590866846
163,BRS,5.125870507551753
164,KBP,5.095310141313164
165,BUD,5.037759301252091
166,SJU,5.013973609397174
167,MAA,5.011608438224725
168,DPS,4.940084288064828
169,CMB,4.938092663422483
170,EMA,4.875408634325293
171,LCA,4.847424187683874
172,GLA,4.843804830965085
173,BSL,4.803427472913772
174,BLR,4.784333060290224
175,GIG,4.759297756692513
176,BSB,4.734405766659912
177,CCU,4.722491315176213
