,Airport,Ranking
0,ATL,43.20220122054505
1,ORD,26.63971323460388
2,PEK,26.07398817385058
3,CDG,25.398277374405165
4,LHR,25.260632095959156
5,FRA,24.445991788628408
6,LAX,23.870005829793268
7,DFW,22.74263371203255
8,AMS,22.433721114931817
9,JFK,22.33326967066844
10,PVG,20.06660123407383
11,SIN,19.740961691503788
12,BCN,19.173325635451924
13,IST,18.538849365437926
14,DEN,18.27951958590575
15,MUC,17.98512800672194
16,ICN,17.898905212117008
17,DXB,17.734362420604434
18,MIA,17.661970365772888
19,LGW,17.408362731562583
20,HKG,17.23335494254275
21,CAN,16.551970198703007
22,DME,16.441604073489476
23,FCO,16.42350674074991
24,MAD,16.276483979164833
25,BKK,16.029729812966295
26,YYZ,15.707602291300798
27,BRU,15.611366497158132
28,CTU,15.47335378025871
29,MAN,15.365045305726985
30,VIE,15.217138606678041
31,CLT,14.731610338467458
32,DUS,14.194383324522466
33,PHL,14.082268537508988
34,NRT,14.01776274878179
35,PMI,13.604213967577849
36,XIY,13.350589094754032
37,KMG,13.059790742769433
38,CKG,12.936138739101445
39,TPE,12.826802109400326
40,DEL,12.770762686292608
41,EWR,12.721026891869176
42,KUL,12.628228195458545
43,LAS,12.553778838176909
44,PHX,12.482522895616087
45,ZRH,12.410925332909317
46,IAH,12.392477226703525
47,SFO,12.210319265853105
48,HGH,12.014881271482846
49,ARN,11.966260690726441
50,MEX,11.791475350019708
51,MCO,11.629225553529903
52,AUH,11.524275116388862
53,CPH,11.426804725775927
54,SZX,11.27954016209955
55,XMN,11.125076028558855
56,DTW,11.04693879568191
57,LIS,10.990222281066876
58,BOM,10.904404791333313
59,MSP,10.660532861841306
60,DUB,10.556373538073336
61,TXL,10.492668658873665
62,BOS,10.49067957192094
63,ATH,10.456595916359666
64,ORY,10.332282065853123
65,SYD,10.306472636432954
66,SVO,10.222388732726532
67,AGP,10.197273500397477
68,SEA,10.039033771628224
69,SHA,9.90321892842363
70,MXP,9.722295120237652
71,DOH,9.631222465346617
72,IAD,9.612669694284588
73,GRU,9.549134743187139
74,DCA,9.47572380235971
75,MNL,9.41362529730615
76,LED,9.37442474563537
77,FLL,9.36846212462581
78,YUL,9.355349628850217
79,OSL,9.23317661025499
80,JED,9.185166362656721
81,CSX,9.086475522189097
82,PRG,9.015982967034786
83,WUH,9.0027276241311
84,TAO,8.954311899440878
85,STN,8.940720003318644
86,CGK,8.754218222806337
87,CGO,8.306122304764846
88,GVA,8.263281233507398
89,JNB,8.134483554699248
90,HEL,8.102890230505166
91,HAM,8.009462001356919
92,NKG,7.904855453758228
93,ALC,7.903572285549138
94,TFS,7.865069996686705
95,HND,7.859386245670565
96,YVR,7.768478467246275
97,LGA,7.738140043926207
98,CAI,7.700873867257464
99,BOG,7.68751540126091
100,LPA,7.653440581751547
101,CUN,7.607257361723327
102,SAW,7.5308829303660145
103,BWI,7.487047121432754
104,KIX,7.409326873518947
105,BNE,7.379732462143288
106,URC,7.361162281767568
107,TSN,7.093680572368221
108,RUH,7.08794897952174
109,LYS,7.044627752857853
110,SLC,7.004328195989015
111,DLC,6.982454758154999
112,STR,6.856576539469436
113,NCE,6.847785457814221
114,TLV,6.82099757984851
115,TPA,6.781349204601038
116,CGN,6.735860139224326
117,SHE,6.706220890617086
118,MEL,6.678599971527874
119,BHX,6.643177721890616
120,MDW,6.630353459235885
121,MRS,6.591762333558679
122,KWE,6.581094800921783
123,NBO,6.5489611138843475
124,TNA,6.436825045396482
125,CMN,6.416426855234608
126,FOC,6.408245991251884
127,HRB,6.389410630750163
128,AYT,6.246534954812154
129,VCE,6.219175207839901
130,AKL,6.131434220867674
131,WAW,6.093012254083359
132,EDI,6.0669320712621575
133,MSY,5.911711230197184
134,KWI,5.900748720878259
135,SAN,5.868937123174051
136,PDX,5.835535503277048
137,CTA,5.756162071581154
138,MLA,5.7542039375741325
139,ACE,5.7360714000657245
140,HNL,5.729990799752544
141,OTP,5.727661524002535
142,YYC,5.681014437659131
143,LIM,5.680253772897243
144,AMM,5.620127347608138
145,ADD,5.542933954878492
146,NNG,5.525284379316391
147,LTN,5.46148647113261
148,SGN,5.441878992936443
149,TYN,5.419642731548379
150,PTY,5.417845449909893
151,HER,5.403390091332244
152,STL,5.322179008442283
153,SYX,5.263079359518375
154,FAO,5.261102882732744
155,SHJ,5.192105849565575
156,MCT,5.184945456937462
157,RIX,5.172696761761438
158,KWL,5.168045461708431
159,OPO,5.1657374841786305
160,HAK,5.139971326188059
161,IBZ,5.134833744136838
162,BRS,5.128881146309099
163,SVX,5.126750322966755
164,KBP,5.098070150567994
165,BUD,5.047843843446167
166,SJU,5.008875139790457
167,MAA,5.006626542272771
168,DPS,4.934331631951106
169,CMB,4.933816236825947
170,EMA,4.878280637156715
171,LCA,4.854340555957583
172,GLA,4.845565010154914
173,BSL,4.806674617114974
174,BLR,4.779531858533223
175,GIG,4.753559161578714
176,BSB,4.727910659581782
177,CCU,4.717201639718225
178,FUE,4.715570915868719
179,NTE,4.617022843178661
180,TUN,4.5863971684190465
181,CCS,4.5739393458259885
182,ALG,4.569276277996588
183,OVB,4.546421161914955
184,BLQ,4.538878863491898
185,GDL,4.519774923375875
186,VKO,4.485368626426896
187,CRL,4.475607866181719
188,PER,4.4553082082013065
189,SKG,4.4389395112523
190,HAN,4.363357294915592
191,RHO,4.34994728285014
192,BGY,4.32607086752774
193,BEG,4.32528069278039
194,SXF,4.298123463692788
195,BAH,4.2965575335920745
196,HET,4.288820718201492
197,NGO,4.259181212283333
198,KHN,4.243211042053555
199,FUK,4.205617375572761
200,DMM,4.192158689401528
201,TLS,4.170282405562057
202,NGB,4.159465810199321
203,VLC,4.150102983653433
204,AUS,4.133284079607955
205,RDU,4.111003712426046
206,TAS,4.10806574463906
207,CLE,4.094177353618163
208,BNA,4.093774142148668
209,LHW,4.090214503789917
210,LBA,4.079760245378575
211,NAY,4.077692917647687
212,NCL,4.072817649980044
213,SJW,4.029746360130641
214,CTS,4.027591195122928
215,NAP,3.9895554694748254
216,PSA,3.9781397681975084
217,PUS,3.952794963519266
218,WNZ,3.949064531413205
219,SCL,3.943646605294216
220,MFM,3.9368350598396438
221,HAJ,3.8733874898602783
222,MCI,3.817080575124915
223,HFE,3.798221769727937
224,CVG,3.7809667304176076
225,SJO,3.756952339975827
226,EZE,3.74807199710158
227,DAC,3.7442017224660007
228,ANC,3.662774681194963
229,RAK,3.659089240837581
230,PIT,3.650341388612235
231,LUX,3.641483891334169
232,YEG,3.6035625595318828
233,MTY,3.5845984339750405
234,HOU,3.575782844342357
235,HYD,3.5704401865373705
236,EIN,3.5475100905278687
237,PUJ,3.5372782302460406
238,BGO,3.512098735254568
239,DMK,3.5111771914227226
240,NAS,3.4857723389491153
241,ADB,3.4665285777099695
242,AEP,3.4600019959761776
243,ALA,3.4589148248334425
244,BOD,3.447107063761107
245,IND,3.411504128266435
246,BEY,3.3756812546747126
247,SAT,3.361046058240572
248,LCY,3.3499578679510003
249,SOF,3.3474628612232715
250,HKT,3.3256666872187286
251,CGQ,3.2990565220472616
252,KHH,3.2740948798435348
253,GYD,3.27332054620099
254,INC,3.2654731040986573
255,KHI,3.2631734769803358
256,IKA,3.2301726968509152
257,DKR,3.227110956879755
258,RSW,3.2149418578024074
259,CMH,3.2144257285969937
260,SUB,3.1951489240711006
261,THR,3.1738136640664
262,PMO,3.1666903047806176
263,MHD,3.1634363541715067
264,BVA,3.158799827362816
265,BIO,3.158018333813834
266,LJG,3.1415802080769235
267,SVQ,3.132791344048072
268,OKA,3.112762124308994
269,DBV,3.1056275735503296
270,MED,3.068189682711569
271,LOS,3.0365000770076307
272,LPL,3.030446136774804
273,ISB,3.027106500897116
274,VNO,3.0194003722446277
275,CJU,3.0102558181988504
276,LIN,3.009664482056593
277,SJC,3.0088341824379268
278,KRK,3.0063763773468537
279,VCP,2.9979407810733028
280,MKE,2.9744465522196784
281,ZUH,2.954528985531078
282,OAK,2.899008175529233
283,DLM,2.884383905906804
284,SXM,2.86721085467668
285,COK,2.855538006993038
286,SSA,2.8516091641629724
287,ESB,2.8468438662787237
288,CNS,2.8344057447429125
289,LHE,2.813549308416682
290,MSQ,2.807040600974385
291,UPG,2.773907011643769
292,YNT,2.754190763138525
293,POM,2.753859148319525
294,GOT,2.740186477637489
295,DYU,2.72844526562207
296,CNF,2.716942784933475
297,CFU,2.7112799527363216
298,MEM,2.707247987124056
299,YHZ,2.690976022877617
300,SMF,2.6691586365883055
301,TSE,2.6665536771652016
302,CIA,2.6650169285303553
303,SVG,2.6615823240262624
304,ACC,2.6409030927208073
305,FLR,2.6394774811555433
306,GDN,2.6376867520730953
307,BKI,2.6326737643011935
308,BRE,2.62821485958188
309,FNC,2.6242092019191623
310,SAL,2.6182638597064734
311,OLB,2.617562898368711
312,GRO,2.6145076875285227
313,ADL,2.6123187678990196
314,BRI,2.5929535013866203
315,BDL,2.576047171620081
316,SFB,2.544769778947486
317,RGN,2.522927738786991
318,HHN,2.503163612915986
319,SPU,2.493262747563748
320,ABJ,2.488380529232786
321,BLL,2.4723232195929885
322,SJD,2.459687002026634
323,SDQ,2.419279594390781
324,XNN,2.418193812019326
325,CEB,2.415014849357167
326,CHQ,2.409510373630516
327,KEF,2.398731108144977
328,KJA,2.3899549970156593
329,NUE,2.3871073848969964
330,KGS,2.3867173117723564
331,DLA,2.378311342873926
332,TIP,2.3735113426827246
333,CNX,2.3724719203603915
334,LAD,2.3699088738828333
335,CGH,2.3561815293537363
336,KRR,2.3395071701351893
337,EVN,2.3303763646191777
338,DWC,2.3059420673809545
339,AUA,2.3059360429067506
340,WUX,2.2990838968426526
341,KTM,2.2941601550907884
342,YOW,2.2862043085478976
343,DRW,2.2631347140558637
344,BET,2.2486022184164205
345,JAX,2.24543104292388
346,FRU,2.242789464274058
347,CAG,2.241039575834717
348,NBE,2.2287123156568103
349,PVR,2.226430032308763
350,MBJ,2.220494101981966
351,YWG,2.1943169880356965
352,PBI,2.1873673150845554
353,SNA,2.185153616411801
354,ZAG,2.1816101826231695
355,CWB,2.175182563763753
356,TRD,2.1691089279082902
357,JJN,2.1595448600603078
358,HAV,2.157839929046982
359,CHC,2.151577411895339
360,TRN,2.14779719323838
361,PFO,2.1456425685195155
362,ITM,2.127724354477316
363,TIJ,2.1257837137916473
364,PPT,2.1092763906352987
365,OGG,2.108392025995642
366,IKT,2.107496882375032
367,POA,2.101219534842844
368,SDF,2.0999571065268925
369,MRU,2.094805235281924
370,ABZ,2.0852751649299224
371,PEN,2.0847492424458443
372,MLE,2.0736138226490843
373,CPT,2.0702854129731434
374,NAN,2.0691975493840262
375,ABQ,2.0549106764458744
376,LIL,2.053887132460707
377,TRV,2.0385794807738056
378,KRT,2.0328272042793847
379,TSF,2.029819021235756
380,NRN,2.0285090046672662
381,OKC,2.022921310744786
382,FAI,2.009232971841049
383,TSA,2.000223104331726
384,AJA,1.9978753622425265
385,LEJ,1.9971399593474781
386,SYZ,1.9956628446429556
387,GUA,1.9900133961561437
388,UIO,1.9824546699251662
389,HRG,1.970001932624112
390,RYG,1.9674420769366503
391,TLL,1.9663970351050095
392,HBE,1.9654221998409347
393,REP,1.9602348856214602
394,JER,1.9519927941999924
395,SAH,1.9251085467724354
396,TRF,1.919990460075518
397,COO,1.9189609608621876
398,YKS,1.9189136640821587
