,Airport,Ranking
0,ATL,43.25075704334622
1,ORD,26.660986808517233
2,PEK,26.085437258289133
3,CDG,25.394379260465463
4,LHR,25.24762019655169
5,FRA,24.436716873907255
6,LAX,23.88913479349564
7,DFW,22.767762330300158
8,AMS,22.41768333845049
9,JFK,22.3448041087085
10,PVG,20.082224288387884
11,SIN,19.75725071474119
12,BCN,19.155868108456
13,IST,18.53274563611104
14,DEN,18.30022064986778
15,MUC,17.9700183158988
16,ICN,17.913267551253973
17,DXB,17.73655502830868
18,MIA,17.67991330345357
19,LGW,17.402647572504623
20,HKG,17.247168152585555
21,CAN,16.56536277836037
22,DME,16.450169781455287
23,FCO,16.415668598538776
24,MAD,16.27336672769355
25,BKK,16.029533684650236
26,YYZ,15.720735666729349
27,BRU,15.605564365326456
28,CTU,15.486528269846309
29,MAN,15.353014353263992
30,VIE,15.197736567953935
31,CLT,14.748395006245882
32,DUS,14.179359073999475
33,PHL,14.095990900563807
34,NRT,14.028514488132924
35,PMI,13.595090147070806
36,XIY,13.361935754120106
37,KMG,13.071034971222378
38,CKG,12.946998462090763
39,TPE,12.837716503060367
40,DEL,12.783148868846265
41,EWR,12.72245644703153
42,KUL,12.638817836904604
43,LAS,12.566908172844313
44,PHX,12.496206206938771
45,IAH,12.4056170619559
46,ZRH,12.402314347634787
47,SFO,12.22184356802154
48,HGH,12.025198213674864
49,MEX,11.804831432017359
50,MCO,11.641858275921985
51,AUH,11.531419602521252
52,CPH,11.406643593936415
53,SZX,11.289235907422624
54,XMN,11.134536347522184
55,DTW,11.058789034615696
56,ARN,11.039379886575317
57,LIS,10.983647401895654
58,BOM,10.91522196545962
59,MSP,10.672271923771751
60,DUB,10.548532874582609
61,BOS,10.500514639610094
62,TXL,10.467989908235316
63,ATH,10.447341684294566
64,ORY,10.33013948863613
65,SYD,10.314739213566307
66,SVO,10.215774222347285
67,AGP,10.185204109919962
68,SEA,10.048121057567396
69,SHA,9.911744382642532
70,MXP,9.722727179976468
71,DOH,9.631528287618925
72,IAD,9.620671853449023
73,GRU,9.55859325251662
74,DCA,9.486888495384562
75,MNL,9.422107041122718
76,FLL,9.37453157560539
77,LED,9.369135932059462
78,YUL,9.362457986049735
79,OSL,9.211369164203969
80,JED,9.192671611317259
81,CSX,9.094305313583734
82,WUH,9.010460739159152
83,PRG,8.999038346839729
84,TAO,8.962025905489822
85,STN,8.93733491077354
86,CGK,8.762149392756776
87,CGO,8.313352429525418
88,GVA,8.247225555755866
89,JNB,8.143111076383661
90,HEL,8.064714606067524
91,HAM,7.998913165889673
92,NKG,7.9116345769857785
93,ALC,7.8855110403450475
94,HND,7.865848861214132
95,TFS,7.864813001783156
96,YVR,7.775709878237715
97,LGA,7.747239169957371
98,CAI,7.704780447828802
99,BOG,7.696354428694719
100,LPA,7.649220024175219
101,CUN,7.614876203424103
